Player,Club,Age,Position,Nation,Value
Khéphren Thuram,OGC Nice,22,midfield,France,40.00m
Hicham Boudaoui,OGC Nice,23,midfield,Algeria,8.00m
Ross Barkley,OGC Nice,29,midfield,England,6.00m
Aaron Ramsey,OGC Nice,32,midfield,Wales,2.50m
Daouda Traoré,OGC Nice,16,midfield,France,100k
Sofiane Diop,OGC Nice,23,Attack,France,15.00m
Billal Brahimi,OGC Nice,23,Attack,Algeria,7.00m
Nicolas Pépé,OGC Nice,28,Attack,Cote d'Ivoire,18.00m
Badredine Bouanani,OGC Nice,18,Attack,Algeria,6.00m
Terem Moffi,OGC Nice,24,Attack,Nigeria,20.00m
Gaëtan Laborde,OGC Nice,29,Attack,France,16.00m
Brice Samba,RC Lens,29,Goalkeeper,France,13.00m
Wuilker Fariñez,RC Lens,25,Goalkeeper,Venezuela,3.50m
Jean-Louis Leca,RC Lens,37,Goalkeeper,France,200k
Yannick Pandor,RC Lens,22,Goalkeeper,Comoros,150k
Kevin Danso,RC Lens,24,Defender,Austria,22.00m
Facundo Medina,RC Lens,24,Defender,Argentina,22.00m
Jonathan Gradit,RC Lens,30,Defender,France,5.00m
Steven Fortes,RC Lens,31,Defender,Cape Verde,400k
Adrien Louveau,RC Lens,23,Defender,France,100k
Deiver Machado,RC Lens,29,Defender,Colombia,4.00m
Massadio Haidara,RC Lens,30,Defender,Mali,3.00m
Ismaël Boura,RC Lens,22,Defender,France,1.00m
Julien Le Cardinal,RC Lens,25,Defender,France,2.00m
Salis Abdul Samed,RC Lens,23,midfield,Ghana,18.00m
Jean Onana,RC Lens,23,midfield,Cameroon,6.00m
Lukasz Poreba,RC Lens,23,midfield,Poland,2.00m
Seko Fofana,RC Lens,28,midfield,Cote d'Ivoire,32.00m
Mamadou Camara,RC Lens,20,midfield,Senegal,250k
Yaya Fofana,RC Lens,19,midfield,Mali,150k
Przemyslaw Frankowski,RC Lens,28,midfield,Poland,9.00m
Jimmy Cabot,RC Lens,29,midfield,France,3.50m
Angelo Fulgini,RC Lens,26,midfield,France,9.00m
David Costa,RC Lens,22,midfield,Portugal,8.00m
Adrien Thomasson,RC Lens,29,midfield,France,6.00m
