Players,Values
Baptiste Boit,€100k 
Vital Nsimba,€2.50m 
Arial Mendy,€700k 
Julien Boyer,€450k 
Akim Zedadka,€4.00m 
Jérôme Phojo,€300k 
Karim Mohamed,€100k 
Oliver Kamdem,€100k 
Salis Abdul Samed,€3.00m 
Yohann Magnin,€2.00m 
Uri Busquets,€1.20m 
Johan Gastien,€800k 
Jonathan Iglesias,€450k 
Naël Jaby,€250k 
Fred Gnalega,€150k 
Jim Allevinah,€2.00m 
Saîf-Eddine Khaoui,€1.50m 
Jason Berthomier,€1.20m 
Yadaly Diaby,€200k 
Aïman Maurer,€100k 
Elbasan Rashani,€2.50m 
Lucas Da Cunha,€4.00m 
Jodel Dossou,€1.80m 
Aboubakar Sidibé,€150k 
Mohamed Bayo,€12.00m 
Grejohn Kyei,€1.20m 
Pierre-Yves Hamel,€1.20m 
Jordan Tell,€600k 
Bryan Teixeira,€300k 
Mathis Clairicia,€100k 
Alexandre Oukidja,€1.20m 
Marc-Aurèle Caillard,€1.20m 
Ousmane Ba,€300k 
David Oberhauser,€250k 
Kiki Kouyaté,€5.00m 
Dylan Bronn,€4.00m 
Jemerson,€2.00m 
Mamadou Fofana,€2.00m 
Sikou Niakaté,€1.80m 
Fali Candé,€1.50m 
Lenny Lacroix,€1.00m 
Amadou Salif Mbengue,€800k 
Jean-Armel Kana-Biyik,€500k 
Noah Zilliox,€100k 
Matthieu Udol,€2.50m 
Thomas Delaine,€2.00m 
Manuel Cabit,€200k 
Fabien Centonze,€7.00m 
William Mikelbrencis,€2.00m 
Sofiane Alakouch,€1.50m 
Habib Maïga,€3.50m 
Kévin N'Doram,€2.00m 
Ibrahim Amadou,€2.00m 
Boubacar Traoré,€1.80m 
Vincent Pajot,€1.00m 
Danley Jean Jacques,€100k 
Pape Matar Sarr,€15.00m 
Farid Boulaya,€3.50m 
Amine Bassi,€1.50m 
Didier Lamkel Zé,€3.50m 
Opa Nguette,€2.00m 
Papa Ndiaga Yade,€2.00m 
Cheikh Sabaly,€900k 
Lamine Gueye,€2.00m 
Vagner,€1.50m 
Warren Tchimbembé,€800k 
Ibrahima Niane,€5.00m 
Nicolas de Préville,€2.50m 
Georges Mikautadze,€2.20m 
Louis Mafouta,€900k 
Lenny Joseph,€500k 
Yahia Fofana,€2.00m 
Mathieu Gorgelin,€500k 
Azamat Uriev,€50k 
Mohamed Koné,€50k 
Isaak Touré,€5.00m 
Arouna Sangante,€1.00m 
Fernand Mayembo,€800k 
Pierre Gibaud,€300k 
Umut Meras,€2.10m 
Ismaël Boura,€1.50m 
Abdelwahed Wahib,€500k 
Ayman Ben Mohamed,€400k 
Memel Lasme,€50k 
Thierno Baldé,€2.00m 
Woyo Coulibaly,€900k 
Saël Kumbedi,€200k 
Victor Lekhal,€1.50m 
Nolan Mbemba,€400k 
Aristide Wam,€250k 
Amir Richardson,€1.30m 
Abdoullah Ba,€700k 
Jean-Pascal Fontaine,€400k 
Yassine Kechta,€50k 
Elies Mahmoud,€300k 
Alexandre Bonnet,€250k 
Himad Abdelli,€1.50m 
Nabil Alioui,€1.00m 
Ylan Gomes,€250k 
Amadou Samoura,€50k 
Quentin Cornette,€1.00m 
Josué Casimir,€200k 
Matthis Abline,€3.00m 
Pape Ibnou Ba,€800k 
Jamal Thiaré,€700k 
Khalid Boutaïb,€300k 
