Player,Club,Age,Position,Nation,Value
Edmond Tapsoba,Bayer 04 Leverkusen,24,Defender,Burkina Faso,30000000.0
Boubacar Kamara,Aston Villa,23,midfield,France,30000000.0
Ángel Correa,Atlético de Madrid,28,Attack,Argentina,30000000.0
Teun Koopmeiners,Atalanta BC,25,midfield,Netherlands,30000000.0
Robert Lewandowski,FC Barcelona,34,Attack,Poland,30000000.0
Nico Williams,Athletic Bilbao,20,Attack,Spain,30000000.0
Pierre Kalulu,AC Milan,23,Defender,France,30000000.0
Ryan Gravenberch,Bayern Munich,21,midfield,Netherlands,30000000.0
Oihan Sancet,Athletic Bilbao,23,midfield,Spain,30000000.0
Nicolas Jackson,Villarreal CF,22,Attack,Senegal,30000000.0
Mattia Zaccagni,SS Lazio,28,Attack,Italy,30000000.0
Joachim Andersen,Crystal Palace,27,Defender,Denmark,30000000.0
Gabri Veiga,Celta de Vigo,21,midfield,Spain,30000000.0
Ferran Torres,FC Barcelona,23,Attack,Spain,30000000.0
Roger Ibañez,AS Roma,24,Defender,Brazil,30000000.0
Nicolás González,ACF Fiorentina,25,Attack,Argentina,30000000.0
Paulo Dybala,AS Roma,29,Attack,Argentina,30000000.0
Micky van de Ven,VfL Wolfsburg,22,Defender,Netherlands,30000000.0
Ademola Lookman,Atalanta BC,25,Attack,Nigeria,30000000.0
José Gayà,Valencia CF,28,Defender,Spain,30000000.0
Sofyan Amrabat,ACF Fiorentina,26,midfield,Morocco,30000000.0
David Raya,Brentford FC,27,Goalkeeper,Spain,30000000.0
Noni Madueke,Chelsea FC,21,Attack,England,30000000.0
Youssoufa Moukoko,Borussia Dortmund,18,Attack,Germany,30000000.0
Manuel Locatelli,Juventus FC,25,midfield,Italy,30000000.0
Sébastien Haller,Borussia Dortmund,29,Attack,Cote d'Ivoire,30000000.0
Konrad Laimer,RB Leipzig,26,midfield,Austria,28000000.0
Noussair Mazraoui,Bayern Munich,25,Defender,Morocco,28000000.0
Evan Ndicka,Eintracht Frankfurt,23,Defender,Cote d'Ivoire,28000000.0
Donyell Malen,Borussia Dortmund,24,Attack,Netherlands,28000000.0
Jesper Lindström,Eintracht Frankfurt,23,midfield,Denmark,28000000.0
Emiliano Buendía,Aston Villa,26,Attack,Argentina,28000000.0
Rico Henry,Brentford FC,25,Defender,England,28000000.0
Emiliano Martínez,Aston Villa,30,Goalkeeper,Argentina,28000000.0
Aleksandar Mitrović,Fulham FC,28,Attack,Serbia,28000000.0
Guido Rodríguez,Real Betis Balompié,29,midfield,Argentina,28000000.0
Denzel Dumfries,Inter Milan,27,midfield,Netherlands,28000000.0
Leon Bailey,Aston Villa,25,Attack,Jamaica,28000000.0
Armando Broja,Chelsea FC,21,Attack,Albania,28000000.0
Pedro Neto,Wolverhampton Wanderers,23,Attack,Portugal,28000000.0
Alex Iwobi,Everton FC,27,midfield,Nigeria,28000000.0
Danilo,Nottingham Forest,22,midfield,Brazil,28000000.0
John McGinn,Aston Villa,28,midfield,Scotland,27000000.0
Daichi Kamada,Eintracht Frankfurt,26,midfield,Japan,27000000.0
Eljif Elmas,SSC Napoli,23,midfield,North Macedonia,26000000.0
Vitaliy Mykolenko,Everton FC,24,Defender,Ukraine,25000000.0
Dominic Calvert-Lewin,Everton FC,26,Attack,England,25000000.0
Eddie Nketiah,Arsenal FC,24,Attack,England,25000000.0
Takehiro Tomiyasu,Arsenal FC,24,Defender,Japan,25000000.0
Timo Werner,RB Leipzig,27,Attack,Germany,25000000.0
Giovanni Reyna,Borussia Dortmund,20,midfield,United States,25000000.0
Patrik Schick,Bayer 04 Leverkusen,27,Attack,Czech Republic,25000000.0
Fábio Vieira,Arsenal FC,23,midfield,Portugal,25000000.0
Mohamed Simakan,RB Leipzig,23,Defender,France,25000000.0
Sadio Mané,Bayern Munich,31,Attack,Senegal,25000000.0
Marcelo Brozovic,Inter Milan,30,midfield,Croatia,25000000.0
Franck Kessié,FC Barcelona,26,midfield,Cote d'Ivoire,25000000.0
Kieran Tierney,Arsenal FC,26,Defender,Scotland,25000000.0
Brais Méndez,Real Sociedad,26,midfield,Spain,25000000.0
Youri Tielemans,Leicester City,26,midfield,Belgium,25000000.0
Arnaut Danjuma,Tottenham Hotspur,26,Attack,Netherlands,25000000.0
Kiernan Dewsbury-Hall,Leicester City,24,midfield,England,25000000.0
Yannick Carrasco,Atlético de Madrid,29,Attack,Belgium,25000000.0
Aymeric Laporte,Manchester City,29,Defender,Spain,25000000.0
Antoine Griezmann,Atlético de Madrid,32,Attack,France,25000000.0
Karim Benzema,Real Madrid,35,Attack,France,25000000.0
Ferland Mendy,Real Madrid,28,Defender,France,25000000.0
Álex Remiro,Real Sociedad,28,Goalkeeper,Spain,25000000.0
Matty Cash,Aston Villa,25,Defender,Poland,25000000.0
Jorginho,Arsenal FC,31,midfield,Italy,25000000.0
Takefusa Kubo,Real Sociedad,22,Attack,Japan,25000000.0
Wilfred Ndidi,Leicester City,26,midfield,Nigeria,25000000.0
Marco Asensio,Real Madrid,27,Attack,Spain,25000000.0
Alejandro Garnacho,Manchester United,18,Attack,Argentina,25000000.0
Samuel Chukwueze,Villarreal CF,24,Attack,Nigeria,25000000.0
Timothy Castagne,Leicester City,27,Defender,Belgium,25000000.0
Aaron Wan-Bissaka,Manchester United,25,Defender,England,25000000.0
Kevin Schade,Brentford FC,21,Attack,Germany,25000000.0
Scott McTominay,Manchester United,26,midfield,Scotland,25000000.0
Reinildo Mandava,Atlético de Madrid,29,Defender,Mozambique,25000000.0
Tetê,Leicester City,23,Attack,Brazil,25000000.0
Ruben Loftus-Cheek,Chelsea FC,27,midfield,England,25000000.0
Tino Livramento,Southampton FC,20,Defender,England,25000000.0
Enes Ünal,Getafe CF,26,Attack,Turkey,25000000.0
Giovanni Di Lorenzo,SSC Napoli,29,Defender,Italy,25000000.0
Destiny Udogie,Udinese Calcio,20,Defender,Italy,25000000.0
Amir Rrahmani,SSC Napoli,29,Defender,Kosovo,25000000.0
Matheus Cunha,Wolverhampton Wanderers,24,Attack,Brazil,25000000.0
Dango Ouattara,AFC Bournemouth,21,Attack,Burkina Faso,25000000.0
Beto,Udinese Calcio,25,Attack,Portugal,25000000.0
Hirving Lozano,SSC Napoli,27,Attack,Mexico,25000000.0
Saïd Benrahma,West Ham United,27,Attack,Algeria,25000000.0
Sean Longstaff,Newcastle United,25,midfield,England,25000000.0
Brenden Aaronson,Leeds United,22,midfield,United States,25000000.0
Christian Pulisic,Chelsea FC,24,Attack,United States,25000000.0
Kyle Walker-Peters,Southampton FC,26,Defender,England,25000000.0
Davide Frattesi,US Sassuolo,23,midfield,Italy,25000000.0
Jakub Kiwior,Arsenal FC,23,Defender,Poland,25000000.0
Perr Schuurs,Torino FC,23,Defender,Netherlands,25000000.0
Giorgi Mamardashvili,Valencia CF,22,Goalkeeper,Georgia,25000000.0
Unai Simón,Athletic Bilbao,26,Goalkeeper,Spain,25000000.0
Iñaki Williams,Athletic Bilbao,29,Attack,Ghana,25000000.0
Juan Foyth,Villarreal CF,25,Defender,Argentina,25000000.0
Boulaye Dia,US Salernitana 1919,26,Attack,Senegal,25000000.0
Taiwo Awoniyi,Nottingham Forest,25,Attack,Nigeria,25000000.0
Ezri Konsa,Aston Villa,25,Defender,England,25000000.0
Aaron Hickey,Brentford FC,21,Defender,Scotland,25000000.0
Christoph Baumgartner,TSG 1899 Hoffenheim,23,midfield,Austria,24000000.0
Gianluca Scamacca,West Ham United,24,Attack,Italy,22000000.0
Curtis Jones,Liverpool FC,22,midfield,England,22000000.0
Thomas Lemar,Atlético de Madrid,27,midfield,France,22000000.0
Christian Eriksen,Manchester United,31,midfield,Denmark,22000000.0
Hamed Junior Traorè,AFC Bournemouth,23,midfield,Cote d'Ivoire,22000000.0
Kamaldeen Sulemana,Southampton FC,21,Attack,Ghana,22000000.0
Viktor Tsygankov,Girona FC,25,Attack,Ukraine,22000000.0
Tyrell Malacia,Manchester United,23,Defender,Netherlands,22000000.0
Tyrone Mings,Aston Villa,30,Defender,England,22000000.0
Jack Harrison,Leeds United,26,Attack,England,22000000.0
Charles De Ketelaere,AC Milan,22,midfield,Belgium,22000000.0
Nathan Collins,Wolverhampton Wanderers,22,Defender,Ireland,22000000.0
Mathias Jensen,Brentford FC,27,midfield,Denmark,22000000.0
Luis Sinisterra,Leeds United,24,Attack,Colombia,22000000.0
Tyrick Mitchell,Crystal Palace,23,Defender,England,22000000.0
Kurt Zouma,West Ham United,28,Defender,France,22000000.0
Jordan Pickford,Everton FC,29,Goalkeeper,England,22000000.0
Tanguy Ndombélé,SSC Napoli,26,midfield,France,22000000.0
Pablo Fornals,West Ham United,27,midfield,Spain,22000000.0
Nicolò Casale,SS Lazio,25,Defender,Italy,22000000.0
Marcos Senesi,AFC Bournemouth,26,Defender,Argentina,22000000.0
