Players,Values
Hamadi Al-Ghaddioui,€700k 
Robin Zentner,€5.00m 
Finn Dahmen,€1.50m 
Lasse Rieß,€200k 
Moussa Niakhaté,€18.00m 
Jerry St. Juste,€16.00m 
Luca Kilian,€4.50m 
Stefan Bell,€2.50m 
Alexander Hack,€2.50m 
David Nemeth,€2.30m 
Aarón Martín,€5.00m 
Anderson Lucoqui,€1.80m 
Silvan Widmer,€5.00m 
Daniel Brosinski,€500k 
Anton Stach,€13.00m 
Niklas Tauer,€1.50m 
Stephan Fürstner,€75k 
Leandro Barreiro,€8.00m 
Dominik Kohr,€5.00m 
Edimilson Fernandes,€2.00m 
Merveille Papela,€400k 
Eniss Shabani,€200k 
Timothé Rupil,€100k 
Jean-Paul Boëtius,€4.00m 
Jae-sung Lee,€3.00m 
Kevin Stöger,€1.60m 
Paul Nebel,€1.30m 
Kaito Mizuta,€150k 
Romario Rösch,€150k 
Delano Burgzorg,€2.00m 
Ben Bobzien,€250k 
Jonathan Burkardt,€17.00m 
Karim Onisiwo,€3.50m 
Marcus Ingvartsen,€2.50m 
Ádám Szalai,€500k 
Oliver Baumann,€4.50m 
Philipp Pentke,€300k 
Luca Philipp,€300k 
Nahuel Noll,€200k 
Chris Richards,€7.50m 
Kevin Akpoguma,€6.00m 
Kevin Vogt,€3.50m 
Ermin Bicakcic,€1.00m 
Havard Nordtveit,€1.00m 
Kasim Adams,€1.00m 
Benjamin Hübner,€1.00m 
Fabian Rüth,€125k 
Gabriel Haider,€125k 
Noah König,€125k 
David Raum,€20.00m 
Marco John,€2.50m 
Stefan Posch,€10.00m 
Pavel Kaderabek,€5.00m 
Justin Che,€3.00m 
Florian Grillitsch,€16.00m 
Diadié Samassékou,€16.00m 
Angelo Stiller,€7.00m 
Sebastian Rudy,€1.50m 
Melayro Bogarde,€1.20m 
Dennis Geiger,€9.00m 
Robert Skov,€7.00m 
Mijat Gacinovic,€2.50m 
Christoph Baumgartner,€22.00m 
Tom Bischof,€1.00m 
Jacob Bruun Larsen,€6.00m 
Ihlas Bebou,€16.00m 
Georginio Rutter,€16.00m 
Andrej Kramaric,€12.00m 
Munas Dabbur,€4.00m 
Sargis Adamyan,€3.50m 
Maximilian Beier,€3.00m 
Fisnik Asllani,€400k 
Nick Proschwitz,€150k 
Jiri Pavlenka,€3.00m 
Michael Zetterer,€500k 
Luca Plogmann,€300k 
Dudu,€200k 
Marco Friedl,€5.00m 
Milos Veljkovic,€4.00m 
Ömer Toprak,€1.50m 
Lukas Mai,€1.00m 
Fabio Chiarodia,€500k 
Dominik Becker,€200k 
Anthony Jung,€1.00m 
Kyu-hyun Park,€200k 
Felix Agu,€2.50m 
Mitchell Weiser,€1.50m 
Simon Straudi,€150k 
Ilia Gruev,€1.00m 
Nicolai Rapp,€800k 
Christian Groß,€500k 
Maximilian Eggestein,€8.00m 
Kevin Möhwald,€1.50m 
Jean Manuel Mbom,€1.50m 
Leonardo Bittencourt,€3.50m 
Romano Schmid,€3.50m 
Niklas Schmidt,€800k 
Oscar Schönfelder,€300k 
Abdenego Nankishi,€250k 
Kebba Badjie,€125k 
Josh Sargent,€7.00m 
Marvin Ducksch,€4.00m 
Niclas Füllkrug,€3.00m 
Johannes Eggestein,€1.80m 
Yuya Osako,€900k 
Roger Assalé,€700k 
Eren Dinkci,€700k 
Nick Woltemade,€600k 
Dejan Galjen,€75k 
Marvin Schwäbe,€4.00m 
Timo Horn,€2.00m 
Jonas Urbig,€300k 
Matthias Köbbing,€25k 
Timo Hübers,€7.50m 
Luca Kilian,€4.50m 
Jorge Meré,€2.50m 
Julian Chabot,€2.00m 
Bright Arrey-Mbi,€1.30m 
Rafael Czichos,€1.00m 
Jonas Hector,€3.50m 
Jannes Horn,€1.80m 
Noah Katterbach,€1.70m 
Benno Schmitz,€3.00m 
Kingsley Ehizibue,€1.30m 
Salih Özcan,€13.00m 
Ellyes Skhiri,€13.00m 
Dejan Ljubicic,€7.50m 
Niklas Hauptmann,€350k 
Mathias Olesen,€350k 
Kingsley Schindler,€800k 
Ondrej Duda,€4.00m 
Louis Schaub,€1.80m 
Tomás Ostrák,€750k 
Florian Kainz,€3.50m 
Marvin Obuz,€300k 
Jan Thielmann,€7.50m 
Mark Uth,€3.00m 
Anthony Modeste,€3.00m 
Sebastian Andersson,€2.00m 
Tim Lemperle,€2.00m 
Manuel Riemann,€1.20m 
Michael Esser,€400k 
Tjark Ernst,€200k 
Paul Grave,€100k 
Armel Bella-Kotchap,€10.00m 
Maxim Leitsch,€5.00m 
Erhan Masovic,€2.50m 
Vasilios Lampropoulos,€500k 
Saulo Decarli,€300k 
Danilo Soares,€2.20m 
Konstantinos Stafylidis,€1.80m 
Moritz Römling,€200k 
Herbert Bockhorn,€800k 
Cristian Gamboa,€700k 
Anthony Losilla,€500k 
Elvis Rexhbecaj,€4.00m 
Eduard Löwen,€2.00m 
Patrick Osterhage,€900k 
Robert Tesche,€350k 
Raman Chibsah,€250k 
Milos Pantovic,€2.20m 
Tom Weilandt,€250k 
Gerrit Holtmann,€4.50m 
Christopher Antwi-Adjei,€1.00m 
Danny Blum,€600k 
Takuma Asano,€3.00m 
Tarsis Bonga,€300k 
Sebastian Polter,€2.20m 
Jürgen Locadia,€2.00m 
Simon Zoller,€1.10m 
Silvère Ganvoula,€600k 
Soma Novothny,€400k 
Luis Hartwig,€200k 
Kevin Müller,€600k 
Vitus Eicher,€250k 
Paul Tschernuth,€100k 
Patrick Mainka,€1.80m 
Oliver Hüsing,€850k 
Tim Siersleben,€400k 
Tim Seifert,€100k 
Jonas Föhrenbach,€600k 
Marnon Busch,€1.20m 
Marvin Rittmüller,€350k 
Dzenis Burnic,€800k 
Andreas Geipl,€500k 
Norman Theuerkauf,€300k 
Melvin Ramusovic,€150k 
Jan Schöppner,€1.20m 
Kevin Sessa,€1.20m 
Konstantin Kerschbaumer,€400k 
Julian Stark,€150k 
Tobias Mohr,€1.30m 
Denis Thomalla,€500k 
Florian Pick,€500k 
Robert Leipertz,€700k 
Tim Kleindienst,€2.00m 
Christian Kühlwetter,€1.00m 
Maurice Malone,€500k 
Patrick Schmidt,€400k 
Stefan Schimmer,€400k 
Gianni Mollo,€100k 
Marcel Schuhen,€700k 
Morten Behrens,€300k 
Steve Kroll,€125k 
Patric Pfeiffer,€2.00m 
Thomas Isherwood,€1.00m 
Lasse Sobiech,€600k 
Clemens Riedel,€500k 
Jannik Müller,€450k 
Fabian Holland,€600k 
Emir Karic,€550k 
Matthias Bader,€1.50m 
Frank Ronstadt,€350k 
Nemanja Celic,€600k 
Klaus Gjasula,€500k 
Leon Müller,€75k 
Tobias Kempe,€500k 
Fabian Schnellhardt,€450k 
Adrian Stanilewicz,€250k 
Marvin Mehlem,€800k 
John Peter Sesay,€150k 
Mathias Honsak,€800k 
Ensar Arslan,€125k 
Tim Skarke,€1.00m 
Benjamin Goller,€700k 
Erich Berko,€400k 
Phillip Tietz,€2.00m 
Luca Pfeiffer,€2.00m 
Aaron Seydel,€600k 
Braydon Manu,€550k 
André Leipold,€200k 
