Players,Values
Matthew Hoppe,€1.00m 
Stole Dimitrievski,€3.00m 
Luca Zidane,€2.00m 
Iván Arboleda,€1.80m 
Miguel Ángel Morro,€600k 
Alejandro Catena,€4.00m 
Nikola Maras,€1.20m 
Esteban Saveljich,€800k 
Jorge Moreno,€500k 
Mario Suárez,€300k 
Fran García,€7.50m 
Kévin Rodrigues,€1.80m 
Iván Balliu,€2.00m 
Mario Hernández,€800k 
Santi Comesaña,€4.00m 
Unai López,€4.00m 
Óscar Valentín,€3.00m 
Pathé Ciss,€2.00m 
Randy Nteka,€4.00m 
Óscar Trejo,€3.00m 
José Pozo,€1.20m 
Álvaro García,€6.00m 
Martín Merquelanz,€1.50m 
Bebé,€800k 
Isi Palazón,€3.00m 
Sergi Guardiola,€3.00m 
Radamel Falcao,€2.00m 
Andrés Martín,€1.20m 
Mamadou Sylla,€1.20m 
Yacine Qasmi,€600k 
Sergio Moreno,€400k 
Conan Ledesma,€6.00m 
David Gil,€800k 
Juan Flere,€100k 
Victor Aznar,€50k 
Fali,€3.00m 
Víctor Chust,€2.50m 
Marcos Mauro,€1.20m 
Varazdat Haroyan,€1.20m 
Juan Cala,€900k 
Luis Hernández,€800k 
Alfonso Espino,€6.00m 
Santiago Arzamendia,€1.80m 
Genar Fornés,€150k 
Iza Carcelén,€1.50m 
Carlos Akapo,€1.20m 
Raúl Parra,€300k 
Jens Jönsson,€4.00m 
Tomás Alarcón,€3.00m 
José Mari,€400k 
Rubén Alcaraz,€2.50m 
Fede San Emeterio,€1.50m 
Álvaro Bastida,€1.00m 
Martín Calderón,€500k 
Álex Fernández,€6.00m 
Oussama Idrissi,€4.00m 
Alberto Perea,€1.00m 
Salvi Sánchez,€2.00m 
Iván Alejo,€1.20m 
Álvaro Jiménez,€600k 
Ivan Chapela,€600k 
Choco Lozano,€4.00m 
Lucas Pérez,€2.50m 
Rubén Sobrino,€2.00m 
Álvaro Negredo,€1.50m 
Florin Andone,€1.00m 
Milutin Osmajic,€700k 
Pedro Benito,€300k 
Luís Maximiano,€12.00m 
Aarón Escandell,€1.00m 
João Costa,€200k 
Cheikh Kane Sarr,€100k 
Ángel Jiménez,€100k 
Domingos Duarte,€8.00m 
Luis Abram,€6.00m 
Raúl Torrente,€3.00m 
Germán Sánchez,€800k 
Pepe Sánchez,€300k 
Sergio Barcia,€250k 
Neyder Lozano,€200k 
Carlos Neva,€4.00m 
Sergio Escudero,€1.80m 
Miguel Ángel Brau,€100k 
Dimitri Foulquier,€4.00m 
Santiago Arias,€4.00m 
Víctor Díaz,€700k 
Quini,€400k 
Njegos Petrovic,€2.50m 
Maxime Gonalons,€1.80m 
Yan Eteki,€1.50m 
Luis Milla,€5.00m 
Monchu,€3.00m 
Ángel Montoro,€1.00m 
Isma Ruiz,€600k 
Darwin Machís,€6.00m 
Myrto Uzuni,€3.00m 
Bryan Zaragoza,€200k 
Antonio Puertas,€4.50m 
Álex Collado,€4.00m 
Alberto Soro,€2.50m 
Rubén Rochina,€2.50m 
Dani Raba,€900k 
Luis Suárez,€9.00m 
Matías Arezo,€6.00m 
Jorge Molina,€1.50m 
Carlos Bacca,€1.00m 
Adrián Butzke,€300k 
Álvaro Valles,€400k 
Raúl Fernández,€200k 
Alfonso Liceras,€50k 
Erick Ferigra,€800k 
Eric Curbelo,€800k 
Alex Suárez,€300k 
Raúl Navas,€300k 
Saúl Coco,€200k 
Sergi Cardona,€800k 
Isaac Hernández,€50k 
Álvaro Lemos,€800k 
Ale Díez,€500k 
David Vicente,€100k 
Nuke Mfulu,€800k 
Sergio Ruiz,€1.00m 
Enzo Loiodice,€1.00m 
Fabio González,€400k 
Unai Veiga,€200k 
Juan Satoca,€100k 
Pol Salvador,€50k 
Alberto Moleiro,€3.00m 
Jonathan Viera,€2.00m 
Kirian Rodríguez,€800k 
Óscar Clemente,€600k 
Maikel Mesa,€300k 
Jesé,€3.00m 
Pejiño,€1.50m 
Adalberto Peñaranda,€800k 
Benito Ramírez,€600k 
Rober González,€2.00m 
Hernâni,€700k 
Óscar Pinchi,€300k 
Ale García,€200k 
Clau Mendes,€300k 
Rafa Mújica,€300k 
Armando Sadiku,€300k 
Fernando Pacheco,€5.00m 
Antonio Sivera,€1.00m 
Jesús Owono,€200k 
Adrián Rodríguez,€50k 
Matt Miazga,€2.00m 
Víctor Laguardia,€2.00m 
Florian Lejeune,€2.00m 
Abdel Abqar,€150k 
Rubén Duarte,€3.00m 
Javi López,€700k 
Saúl García,€600k 
Nahuel Tenaglia,€3.00m 
Martín Aguirregabiria,€2.50m 
Ximo Navarro,€1.20m 
Alexandru Tirlea,€100k 
Mamadou Loum,€4.00m 
Pere Pons,€2.50m 
Tachi,€800k 
Antonio Perera,€400k 
Gonzalo Escalante,€2.50m 
Toni Moya,€1.50m 
Tomás Pina,€800k 
Álex Balboa,€100k 
Manu García,€3.00m 
Iván Martín,€800k 
Manu Vallejo,€3.00m 
Luis Rioja,€3.00m 
