Players,Values
Neco Williams,€8.00m 
Kenny Tete,€4.00m 
Steven Sessegnon,€1.50m 
Cyrus Christie,€1.20m 
Denis Odoi,€700k 
Marlon Fossey,€250k 
Nathaniel Chalobah,€4.00m 
Frank Anguissa,€30.00m 
Harrison Reed,€10.00m 
Tom Cairney,€5.00m 
Jean Michaël Seri,€5.00m 
Josh Onomah,€3.50m 
Domingos Quina,€2.20m 
Tyrese Francois,€500k 
Fábio Carvalho,€12.00m 
Bobby De Cordova-Reid,€7.00m 
Neeskens Kebano,€3.00m 
Ivan Cavaleiro,€3.00m 
Harry Wilson,€17.00m 
Anthony Knockaert,€2.00m 
Aleksandar Mitrović,€20.00m 
Rodrigo Muniz,€5.00m 
Aboubakar Kamara,€3.50m 
Jay Stansfield,€500k 
Nick Pope,€15.00m 
Bailey Peacock-Farrell,€900k 
Wayne Hennessey,€500k 
Will Norris,€300k 
Lukas Jensen,€50k 
James Tarkowski,€22.00m 
Nathan Collins,€10.00m 
Ben Mee,€2.50m 
Kevin Long,€1.00m 
Erik Pieters,€900k 
Bobby Thomas,€200k 
Charlie Taylor,€3.00m 
Connor Roberts,€2.50m 
Matthew Lowton,€1.20m 
Phil Bardsley,€250k 
Ashley Westwood,€2.00m 
Jack Cork,€1.80m 
Josh Brownhill,€7.00m 
Dale Stephens,€1.00m 
Anthony Mancini,€250k 
Lewis Richardson,€200k 
Dwight McNeil,€18.00m 
Maxwel Cornet,€15.00m 
Jóhann Berg Gudmundsson,€2.00m 
Aaron Lennon,€1.00m 
Wout Weghorst,€14.00m 
Chris Wood,€10.00m 
Jay Rodríguez,€2.00m 
Matej Vydra,€2.00m 
Ashley Barnes,€1.50m 
Aaron Ramsdale,€28.00m 
Robin Olsen,€2.00m 
Michael Verrips,€800k 
Adam Davies,€700k 
Wes Foderingham,€500k 
Jake Eastwood,€100k 
John Egan,€7.00m 
Filip Uremovic,€6.00m 
Jack O'Connell,€4.00m 
Ben Davies,€2.50m 
Chris Basham,€900k 
Charlie Goode,€900k 
Kyron Gordon,€250k 
Kacper Lopata,€150k 
Max Lowe,€3.00m 
Enda Stevens,€1.50m 
Jack Robinson,€1.50m 
Rhys Norrington-Davies,€1.50m 
Jayden Bogle,€5.00m 
George Baldock,€4.00m 
Femi Seriki,€150k 
Regan Slater,€400k 
Sander Berge,€16.00m 
John Fleck,€3.00m 
Oliver Norwood,€3.00m 
Conor Hourihane,€1.80m 
Adlène Guédioura,€300k 
Zak Brunt,€250k 
Ben Osborn,€2.50m 
Morgan Gibbs-White,€11.00m 
Luke Freeman,€1.00m 
Rhian Brewster,€7.00m 
Lys Mousset,€6.00m 
Oliver McBurnie,€5.00m 
Oliver Burke,€4.50m 
Iliman Ndiaye,€1.50m 
David McGoldrick,€1.00m 
Daniel Jebbison,€1.00m 
Billy Sharp,€400k 
Tyler Smith,€300k 
Simon Sluga,€1.50m 
Matt Ingram,€800k 
Jed Steer,€600k 
Alex Palmer,€300k 
James Shea,€300k 
Harry Isted,€200k 
Reece Burke,€1.80m 
Tom Lockyer,€1.50m 
Sonny Bradley,€1.20m 
Kal Naismith,€1.00m 
Dan Potts,€500k 
Gabriel Osho,€500k 
Amari'i Bell,€1.80m 
Sam Beckwith,€50k 
James Bree,€2.50m 
Peter Kioso,€300k 
Pelly-Ruddock Mpanzu,€1.80m 
Glen Rea,€600k 
Allan Campbell,€1.50m 
Henri Lansbury,€800k 
Luke Berry,€700k 
Jordan Clark,€500k 
Elliot Thorpe,€300k 
Fred Onyedinma,€800k 
Elliot Lee,€600k 
Dion Pereira,€300k 
Robert Snodgrass,€500k 
Carlos Mendes,€250k 
Josh Neufville,€100k 
Elijah Adebayo,€4.50m 
Harry Cornick,€1.20m 
Admiral Muskwe,€400k 
Danny Hylton,€300k 
Cameron Jerome,€250k 
Aaron Ramsdale,€28.00m 
Bernd Leno,€9.00m 
Arthur Okonkwo,€1.50m 
Karl Hein,€800k 
Gabriel Magalhães,€38.00m 
Rob Holding,€10.00m 
Calum Chambers,€10.00m 
