level_0,index,Player,Age,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors,Club,Position,Nation,Value
1318,580,Teji Savanier,30,30,30,"2,546",12.0,4.0,6.0,4.0,3.0,58,24,41.4,0.1,0.25,27.0,19.0,1185.0,1695.0,69.9,22639.0,8622.0,130.0,4.6,63.0,41.0,11.0,1.0,14.0,0.0,11.0,0.39,6.0,4.0,0.0,0.0,1.0,0.0,46.0,30,23.0,32.9,30.0,30,76.0,12.0,1.0,Montpellier HSC,midfield,France,-2000000.0
1326,663,Christophe Herelle,29,16,12,"1,060",0.0,0.0,0.0,2.0,0.0,3,0,0.0,0.0,0.0,16.4,0.0,377.0,440.0,85.7,7609.0,2474.0,6.0,0.51,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4,4.0,30.8,16.0,20,30.0,48.0,0.0,Stade Brestois 29,Defender,Martinique,-2000000.0
1328,649,Nicolas Tagliafico,29,34,34,"2,991",1.0,3.0,0.0,5.0,0.0,23,5,21.7,0.04,0.2,16.8,0.0,1587.0,1883.0,84.3,24353.0,7754.0,59.0,1.78,46.0,7.0,0.0,3.0,2.0,1.0,5.0,0.15,4.0,1.0,0.0,0.0,0.0,0.0,91.0,53,50.0,64.1,45.0,57,148.0,47.0,0.0,Olympique Lyon,Defender,Argentina,-2000000.0
1333,609,Filip Kostic,29,1,1,74,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,21.1,0.0,23.0,40.0,57.5,469.0,260.0,1.0,1.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,1,3.0,0.0,0.0,Juventus FC,midfield,Serbia,-2000000.0
1330,260,Moussa Sissoko,32,30,22,"1,918",2.0,0.0,0.0,3.0,0.0,17,4,23.5,0.12,0.5,16.3,0.0,628.0,787.0,79.8,10251.0,3230.0,35.0,1.64,32.0,0.0,0.0,3.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,26.0,16,12.0,66.7,22.0,16,42.0,17.0,0.0,FC Nantes,midfield,France,-2000000.0
1332,2839,Anthony Elanga,20,16,5,426,0.0,1.0,0.0,0.0,0.0,10,4,40.0,0.0,0.0,13.8,0.0,95.0,130.0,73.1,1201.0,298.0,17.0,3.59,13.0,0.0,0.0,3.0,1.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1.0,50.0,4.0,2,5.0,4.0,0.0,Manchester United,Attack,Sweden,-2000000.0
1334,499,Callum Wilson,30,31,21,"1,877",18.0,5.0,3.0,4.0,0.0,70,31,44.3,0.21,0.48,12.4,0.0,160.0,242.0,66.1,1996.0,339.0,43.0,2.06,24.0,0.0,6.0,7.0,6.0,0.0,10.0,0.48,5.0,0.0,3.0,2.0,0.0,0.0,9.0,3,0.0,0.0,8.0,1,10.0,5.0,0.0,Newcastle United,Attack,England,-2000000.0
1339,1110,Robert Andrich,27,29,28,"2,406",2.0,2.0,0.0,7.0,0.0,30,9,30.0,0.07,0.22,21.6,1.0,1218.0,1455.0,83.7,19896.0,5759.0,45.0,1.68,37.0,0.0,0.0,4.0,1.0,3.0,4.0,0.15,3.0,0.0,0.0,0.0,0.0,1.0,61.0,38,26.0,57.8,27.0,42,103.0,55.0,2.0,Bayer 04 Leverkusen,midfield,Germany,-2000000.0
1335,2441,Raoul Bellanova,22,18,3,496,0.0,0.0,0.0,0.0,0.0,4,1,25.0,0.0,0.0,8.1,0.0,238.0,306.0,77.8,3914.0,953.0,7.0,1.27,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6,9.0,64.3,6.0,4,18.0,14.0,0.0,Torino FC,Defender,Italy,-2000000.0
1336,736,Walter Benitez,29,30,30,"2,700",0.0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,622.0,850.0,73.2,18073.0,13823.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,100.0,0.0,0,1.0,9.0,1.0,PSV Eindhoven,Goalkeeper,Argentina,-2000000.0
1337,1504,Kristijan Jakic,25,24,17,"1,460",1.0,0.0,0.0,4.0,0.0,8,4,50.0,0.13,0.25,17.5,0.0,741.0,954.0,77.7,13042.0,5310.0,18.0,1.11,15.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,21,22.0,53.7,32.0,14,47.0,49.0,1.0,Eintracht Frankfurt,midfield,Croatia,-2000000.0
1338,989,Andrea Petagna,27,31,19,"1,663",4.0,5.0,1.0,2.0,0.0,35,12,34.3,0.09,0.25,13.2,0.0,316.0,434.0,72.8,4500.0,728.0,41.0,2.22,32.0,0.0,4.0,4.0,1.0,0.0,7.0,0.38,3.0,0.0,2.0,1.0,1.0,0.0,7.0,5,3.0,50.0,16.0,3,10.0,18.0,0.0,AC Monza,Attack,Italy,-2000000.0
1317,2577,Angelo Stiller,21,20,6,704,1.0,1.0,0.0,1.0,0.0,7,3,42.9,0.14,0.33,22.1,0.0,279.0,363.0,76.9,4425.0,1193.0,16.0,2.04,14.0,1.0,0.0,0.0,1.0,0.0,3.0,0.38,3.0,0.0,0.0,0.0,0.0,0.0,26.0,12,8.0,66.7,12.0,10,36.0,14.0,0.0,TSG 1899 Hoffenheim,midfield,Germany,-2000000.0
1329,2445,Bamba Dieng,22,15,9,747,3.0,0.0,1.0,1.0,0.0,21,7,33.3,0.1,0.29,16.0,0.0,106.0,141.0,75.2,1536.0,201.0,12.0,1.45,8.0,0.0,0.0,3.0,0.0,1.0,2.0,0.24,0.0,0.0,0.0,2.0,0.0,0.0,19.0,10,3.0,27.3,6.0,2,21.0,6.0,0.0,FC Lorient,Attack,Senegal,-2000000.0
1303,312,Rafael Toloi,31,32,32,"2,784",2.0,1.0,0.0,8.0,0.0,29,9,31.0,0.07,0.22,13.2,0.0,1351.0,1682.0,80.3,24720.0,9204.0,47.0,1.52,39.0,0.0,3.0,4.0,0.0,1.0,8.0,0.26,7.0,0.0,0.0,1.0,0.0,0.0,69.0,44,35.0,54.7,42.0,57,126.0,88.0,1.0,Atalanta BC,Defender,Italy,-2000000.0
1390,2254,Tommaso Pobega,23,19,9,883,2.0,0.0,0.0,4.0,0.0,20,5,25.0,0.1,0.4,18.7,0.0,307.0,401.0,76.6,5520.0,1482.0,22.0,2.24,15.0,0.0,1.0,3.0,2.0,1.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,27.0,16,13.0,65.0,12.0,9,36.0,11.0,0.0,AC Milan,midfield,Italy,-2000000.0
1319,297,Pizzi,32,16,3,490,2.0,1.0,0.0,1.0,0.0,11,5,45.5,0.18,0.4,16.8,0.0,287.0,339.0,84.7,4653.0,1327.0,25.0,4.62,17.0,3.0,2.0,1.0,1.0,1.0,3.0,0.55,1.0,0.0,0.0,0.0,1.0,1.0,11.0,7,4.0,28.6,4.0,2,13.0,7.0,0.0,SC Braga,midfield,Portugal,-2000000.0
1355,1054,Clement Lenglet,27,26,24,"2,019",0.0,2.0,0.0,4.0,0.0,13,2,15.4,0.0,0.0,15.5,0.0,1270.0,1465.0,86.7,23668.0,8588.0,23.0,1.03,20.0,1.0,0.0,0.0,1.0,1.0,5.0,0.22,5.0,0.0,0.0,0.0,0.0,0.0,38.0,23,16.0,47.1,26.0,18,56.0,68.0,2.0,FC Barcelona,Defender,France,-2000000.0
1346,814,Gaetan Laborde,28,4,3,249,2.0,0.0,0.0,0.0,0.0,11,6,54.5,0.18,0.33,13.2,0.0,41.0,61.0,67.2,623.0,128.0,10.0,3.61,6.0,0.0,1.0,3.0,0.0,0.0,1.0,0.36,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0,1.0,1.0,0.0,OGC Nice,Attack,France,-2000000.0
1347,1178,Alexander Djiku,27,31,31,"2,677",1.0,2.0,0.0,8.0,1.0,17,5,29.4,0.06,0.2,14.4,1.0,1215.0,1507.0,80.6,25533.0,10650.0,24.0,0.81,22.0,1.0,0.0,1.0,0.0,0.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,53.0,36,26.0,56.5,45.0,66,119.0,151.0,3.0,Fenerbahce,Defender,Ghana,-2000000.0
1348,1636,Marek Rodak,25,2,2,180,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,29.0,61.0,47.5,1170.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,1.0,Fulham FC,Goalkeeper,Slovakia,-2000000.0
1349,1640,Jairo Riedewald,25,6,0,64,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,14.7,0.0,34.0,45.0,75.6,467.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,0.0,2.0,0,2.0,4.0,0.0,Crystal Palace,midfield,Netherlands,-2000000.0
1350,1147,Giovanni Simeone,27,25,1,406,4.0,1.0,0.0,1.0,0.0,14,8,57.1,0.29,0.5,17.5,0.0,76.0,106.0,71.7,1016.0,178.0,11.0,2.43,10.0,0.0,0.0,1.0,0.0,0.0,3.0,0.66,3.0,0.0,0.0,0.0,0.0,0.0,12.0,3,3.0,37.5,2.0,1,13.0,4.0,0.0,SSC Napoli,Attack,Argentina,-2000000.0
1351,1827,Ibrahima Sissoko,24,26,13,"1,310",0.0,2.0,0.0,1.0,0.0,13,3,23.1,0.0,0.0,18.0,0.0,489.0,636.0,76.9,8178.0,2320.0,32.0,2.2,25.0,0.0,0.0,2.0,4.0,1.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,40.0,22,22.0,52.4,20.0,10,50.0,19.0,0.0,RC Strasbourg Alsace,midfield,France,-2000000.0
1352,1826,Irvin Cardona,24,10,1,233,0.0,0.0,0.0,0.0,0.0,4,2,50.0,0.0,0.0,13.4,0.0,34.0,58.0,58.6,468.0,79.0,3.0,1.16,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,3.0,2,4.0,2.0,0.0,FC Augsburg,Attack,France,-2000000.0
1353,1172,Steve Mounie,27,23,20,"1,655",6.0,0.0,1.0,2.0,0.0,58,19,32.8,0.09,0.26,14.9,0.0,253.0,458.0,55.2,3503.0,841.0,37.0,2.01,24.0,0.0,0.0,10.0,1.0,2.0,4.0,0.22,2.0,0.0,0.0,2.0,0.0,0.0,13.0,5,5.0,35.7,18.0,3,16.0,20.0,0.0,Stade Brestois 29,Attack,Benin,-2000000.0
1354,1072,Eldor Shomurodov,27,15,9,809,1.0,1.0,0.0,2.0,0.0,18,4,22.2,0.06,0.25,15.7,0.0,143.0,205.0,69.8,1903.0,367.0,19.0,2.12,17.0,0.0,2.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5,2.0,18.2,5.0,3,8.0,4.0,0.0,AS Roma,Attack,Uzbekistan,-2000000.0
1344,1100,Gerrit Holtmann,27,23,8,945,1.0,1.0,0.0,0.0,0.0,30,14,46.7,0.03,0.07,19.6,0.0,155.0,270.0,57.4,2007.0,519.0,22.0,2.1,16.0,0.0,2.0,3.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7,12.0,57.1,15.0,2,16.0,4.0,0.0,VfL Bochum,Attack,Philippines,-2000000.0
1356,1568,Toma Basic,25,25,4,513,1.0,0.0,0.0,2.0,0.0,11,5,45.5,0.09,0.2,19.6,0.0,214.0,293.0,73.0,3132.0,612.0,13.0,2.28,7.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4,3.0,37.5,9.0,7,13.0,8.0,0.0,SS Lazio,midfield,Croatia,-2000000.0
1365,2037,Ibrahima Konate,23,18,17,"1,552",0.0,0.0,0.0,5.0,0.0,11,3,27.3,0.0,0.0,9.7,0.0,988.0,1135.0,87.0,17712.0,6925.0,17.0,0.99,12.0,0.0,1.0,2.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,38.0,26,16.0,59.3,12.0,26,64.0,61.0,4.0,Liverpool FC,Defender,France,-2000000.0
1357,1944,Marin Pongracic,24,9,9,790,0.0,0.0,0.0,2.0,0.0,1,0,0.0,0.0,0.0,16.5,0.0,296.0,361.0,82.0,6388.0,2314.0,6.0,0.68,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14,5.0,71.4,4.0,16,32.0,31.0,0.0,US Lecce,Defender,Croatia,-2000000.0
1358,1030,Moses Simon,27,34,28,"2,346",5.0,4.0,1.0,3.0,0.0,32,9,28.1,0.13,0.44,18.3,1.0,463.0,725.0,63.9,7630.0,2088.0,85.0,3.26,58.0,10.0,7.0,7.0,3.0,0.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,18.0,9,7.0,46.7,14.0,11,29.0,3.0,0.0,FC Nantes,Attack,Nigeria,-2000000.0
1359,1378,Demarai Gray,26,33,27,"2,507",4.0,1.0,2.0,3.0,0.0,57,22,38.6,0.04,0.09,19.5,8.0,579.0,838.0,69.1,9843.0,2215.0,94.0,3.37,41.0,25.0,4.0,11.0,10.0,3.0,5.0,0.18,3.0,2.0,0.0,0.0,0.0,0.0,33.0,24,17.0,54.8,23.0,13,46.0,18.0,0.0,Everton FC,Attack,Jamaica,-2000000.0
1360,1016,Birger Meling,27,27,10,"1,209",0.0,1.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,671.0,787.0,85.3,11341.0,3382.0,18.0,1.34,16.0,2.0,0.0,0.0,0.0,0.0,3.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,24.0,15,12.0,48.0,18.0,23,47.0,26.0,0.0,Stade Rennais FC,Defender,Norway,-2000000.0
1361,2000,Timothy Fosu-Mensah,24,11,1,191,0.0,0.0,0.0,1.0,0.0,3,2,66.7,0.0,0.0,24.5,0.0,93.0,119.0,78.2,1267.0,310.0,5.0,2.36,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5,4.0,100.0,2.0,0,7.0,1.0,0.0,Bayer 04 Leverkusen,Defender,Netherlands,-2000000.0
1363,2030,Luca Pellegrini,23,7,1,180,0.0,0.0,0.0,3.0,0.0,3,0,0.0,0.0,0.0,22.4,0.0,137.0,168.0,81.5,2378.0,735.0,16.0,8.0,13.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,25.0,3.0,7,8.0,4.0,0.0,Juventus FC,Defender,Italy,-2000000.0
1342,1911,Kristoffer Ajer,24,9,9,763,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,6.0,0.0,259.0,345.0,75.1,4480.0,1887.0,4.0,0.47,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8,9.0,56.3,6.0,7,18.0,22.0,0.0,Brentford FC,Defender,Norway,-2000000.0
1364,2162,Malang Sarr,23,13,8,716,0.0,0.0,0.0,3.0,0.0,1,0,0.0,0.0,0.0,12.5,0.0,460.0,517.0,89.0,9845.0,3187.0,8.0,1.01,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3,1.0,20.0,11.0,15,21.0,29.0,2.0,Chelsea FC,Defender,France,-2000000.0
1366,953,Franco Cervi,28,36,21,"1,894",0.0,4.0,0.0,2.0,1.0,23,6,26.1,0.0,0.0,19.4,0.0,620.0,874.0,70.9,9395.0,3007.0,61.0,2.9,42.0,8.0,3.0,4.0,4.0,0.0,5.0,0.24,4.0,0.0,0.0,1.0,0.0,0.0,76.0,46,33.0,50.0,33.0,36,112.0,16.0,0.0,Celta de Vigo,Attack,Argentina,-2000000.0
1343,1894,Odsonne Edouard,24,35,20,"1,803",5.0,2.0,0.0,3.0,0.0,39,15,38.5,0.13,0.33,12.5,0.0,295.0,412.0,71.6,3307.0,535.0,44.0,2.2,32.0,0.0,1.0,9.0,2.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,25.0,13,7.0,53.8,17.0,3,28.0,22.0,0.0,Crystal Palace,Attack,France,-2000000.0
1345,875,Emre Can,28,27,20,"1,900",2.0,1.0,1.0,8.0,0.0,15,2,13.3,0.07,0.5,22.3,0.0,1153.0,1288.0,89.5,20793.0,5986.0,46.0,2.18,43.0,1.0,0.0,1.0,1.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,57.0,28,22.0,51.2,16.0,25,82.0,39.0,1.0,Borussia Dortmund,midfield,Germany,-2000000.0
1362,1320,Lucas Martinez Quarta,26,27,25,"2,171",1.0,1.0,0.0,6.0,0.0,27,10,37.0,0.04,0.1,13.9,0.0,1245.0,1524.0,81.7,27128.0,10926.0,28.0,1.16,21.0,2.0,0.0,4.0,0.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,80.0,48,42.0,68.9,41.0,48,128.0,78.0,1.0,ACF Fiorentina,Defender,Argentina,-2000000.0
1378,1496,Cengiz Under,25,37,28,"2,490",5.0,4.0,1.0,3.0,0.0,70,23,32.9,0.06,0.17,17.1,2.0,778.0,1114.0,69.8,13245.0,4270.0,117.0,4.23,73.0,22.0,9.0,7.0,3.0,3.0,9.0,0.33,6.0,1.0,0.0,1.0,1.0,0.0,37.0,19,13.0,38.2,18.0,18,55.0,13.0,0.0,Olympique Marseille,Attack,Turkey,-2000000.0
1380,1278,Rob Holding,26,14,6,566,1.0,0.0,0.0,0.0,0.0,5,2,40.0,0.2,0.5,12.8,0.0,382.0,442.0,86.4,7494.0,2701.0,6.0,0.95,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5,3.0,50.0,6.0,3,11.0,27.0,1.0,Arsenal FC,Defender,England,-2000000.0
1367,1391,Carlos Fernandez,26,24,8,631,1.0,0.0,0.0,6.0,0.0,21,5,23.8,0.05,0.2,13.1,0.0,96.0,148.0,64.9,1274.0,273.0,16.0,2.27,12.0,0.0,1.0,1.0,2.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4,1.0,6.7,1.0,1,7.0,4.0,0.0,Real Sociedad,Attack,Spain,-2000000.0
1370,2109,Hannes Wolf,23,18,4,449,1.0,1.0,0.0,0.0,0.0,8,3,37.5,0.13,0.33,13.8,0.0,146.0,179.0,81.6,1927.0,322.0,13.0,2.61,10.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,11.0,8,5.0,38.5,3.0,3,14.0,9.0,0.0,Borussia Mönchengladbach,Attack,Austria,-2000000.0
1371,2247,Alexis Saelemaekers,23,30,14,"1,403",2.0,3.0,0.0,1.0,0.0,35,10,28.6,0.06,0.2,20.7,0.0,480.0,621.0,77.3,6935.0,1932.0,63.0,4.05,42.0,5.0,7.0,7.0,2.0,0.0,6.0,0.39,5.0,0.0,1.0,0.0,0.0,0.0,31.0,20,19.0,46.3,13.0,19,50.0,11.0,0.0,AC Milan,Attack,Belgium,-2000000.0
1372,1103,Calum Chambers,27,14,2,353,0.0,0.0,0.0,2.0,0.0,2,0,0.0,0.0,0.0,21.6,0.0,157.0,207.0,75.8,2924.0,1310.0,6.0,1.53,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6,6.0,75.0,5.0,7,16.0,10.0,1.0,Aston Villa,Defender,England,-2000000.0
1373,2287,Jordan Teze,22,27,23,"2,012",0.0,3.0,0.0,2.0,0.0,15,3,20.0,0.0,0.0,22.1,0.0,1397.0,1667.0,83.8,24212.0,8587.0,46.0,2.05,45.0,0.0,0.0,1.0,0.0,0.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,49.0,35,30.0,65.2,34.0,23,72.0,46.0,0.0,PSV Eindhoven,Defender,Netherlands,-2000000.0
1369,2152,Trevoh Chalobah,23,25,18,"1,608",0.0,0.0,0.0,4.0,0.0,9,2,22.2,0.0,0.0,9.6,0.0,1051.0,1200.0,87.6,18603.0,5316.0,16.0,0.9,11.0,0.0,1.0,2.0,2.0,0.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,31.0,20,24.0,70.6,17.0,24,55.0,56.0,1.0,Chelsea FC,Defender,England,-2000000.0
1374,1771,Nordi Mukiele,24,19,12,"1,137",0.0,3.0,0.0,0.0,0.0,11,2,18.2,0.0,0.0,11.6,0.0,585.0,674.0,86.8,8570.0,2494.0,20.0,1.58,16.0,0.0,1.0,2.0,1.0,0.0,5.0,0.4,4.0,0.0,0.0,1.0,0.0,0.0,31.0,23,19.0,65.5,22.0,14,45.0,16.0,0.0,Paris Saint-Germain,Defender,France,-2000000.0
1376,1296,Timo Baumgartl,26,8,6,562,0.0,1.0,0.0,2.0,0.0,4,2,50.0,0.0,0.0,11.5,0.0,257.0,316.0,81.3,4858.0,1773.0,8.0,1.28,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,11.0,6,5.0,27.8,12.0,2,13.0,14.0,0.0,PSV Eindhoven,Defender,Germany,-2000000.0
1377,1697,Gonzalo Montiel,25,28,17,"1,524",0.0,3.0,0.0,8.0,1.0,8,1,12.5,0.0,0.0,13.7,0.0,661.0,851.0,77.7,10029.0,3892.0,41.0,2.42,33.0,6.0,1.0,0.0,0.0,1.0,5.0,0.3,5.0,0.0,0.0,0.0,0.0,0.0,26.0,15,15.0,51.7,25.0,19,45.0,38.0,0.0,Sevilla FC,Defender,Argentina,-2000000.0
1379,1517,Oliver Burke,25,15,1,268,2.0,0.0,0.0,0.0,0.0,8,5,62.5,0.25,0.4,14.0,0.0,53.0,81.0,65.4,655.0,185.0,8.0,2.7,6.0,0.0,0.0,0.0,2.0,0.0,3.0,1.01,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,2.0,0,1.0,0.0,0.0,SV Werder Bremen,Attack,Scotland,-2000000.0
1375,1676,Nadiem Amiri,25,25,9,977,4.0,1.0,1.0,6.0,0.0,23,8,34.8,0.13,0.38,24.3,3.0,423.0,507.0,83.4,6968.0,1759.0,36.0,3.32,23.0,4.0,4.0,1.0,4.0,0.0,5.0,0.46,3.0,0.0,1.0,0.0,1.0,0.0,15.0,6,9.0,45.0,12.0,6,21.0,10.0,2.0,Bayer 04 Leverkusen,midfield,Germany,-2000000.0
1381,1707,Roland Sallai,25,19,10,"1,002",1.0,3.0,0.0,6.0,0.0,32,11,34.4,0.03,0.09,17.4,0.0,238.0,342.0,69.6,3506.0,824.0,39.0,3.5,23.0,1.0,4.0,2.0,8.0,1.0,5.0,0.45,3.0,0.0,1.0,0.0,1.0,0.0,11.0,8,4.0,40.0,7.0,2,13.0,11.0,0.0,SC Freiburg,Attack,Hungary,-2000000.0
1383,1736,Jonathan Ikone,24,33,24,"2,007",4.0,4.0,0.0,4.0,0.0,51,9,17.6,0.08,0.44,16.6,0.0,546.0,669.0,81.6,9216.0,1810.0,67.0,3.01,50.0,0.0,11.0,3.0,3.0,0.0,14.0,0.63,9.0,0.0,3.0,0.0,2.0,0.0,16.0,8,5.0,35.7,18.0,4,20.0,3.0,0.0,ACF Fiorentina,Attack,France,-2000000.0
1368,2071,Pape Gueye,23,16,15,"1,171",1.0,3.0,0.0,6.0,3.0,20,5,25.0,0.05,0.2,19.2,0.0,447.0,553.0,80.8,8299.0,2200.0,31.0,2.38,22.0,0.0,4.0,1.0,3.0,1.0,6.0,0.46,5.0,0.0,0.0,0.0,1.0,0.0,37.0,22,16.0,48.5,21.0,22,59.0,10.0,0.0,Olympique Marseille,midfield,Senegal,-2000000.0
1384,754,Serge Aurier,29,24,22,"1,943",1.0,0.0,0.0,2.0,0.0,9,3,33.3,0.11,0.33,16.2,0.0,667.0,943.0,70.7,10182.0,4393.0,26.0,1.2,21.0,2.0,0.0,0.0,2.0,1.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,64.0,41,23.0,69.7,34.0,29,93.0,75.0,0.0,Nottingham Forest,Defender,Cote d'Ivoire,-2000000.0
1385,1244,Tino Kadewere,26,15,5,542,1.0,0.0,0.0,1.0,0.0,19,6,31.6,0.05,0.17,18.7,0.0,95.0,151.0,62.9,1261.0,233.0,12.0,1.99,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3,4.0,44.4,6.0,2,8.0,1.0,0.0,Olympique Lyon,Attack,Zimbabwe,-2000000.0
1386,2126,Lucas Perrin,23,26,18,"1,765",0.0,1.0,0.0,4.0,0.0,7,4,57.1,0.0,0.0,11.7,0.0,678.0,829.0,81.8,13175.0,5389.0,15.0,0.76,13.0,0.0,0.0,1.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,44.0,27,25.0,51.0,13.0,36,80.0,53.0,0.0,RC Strasbourg Alsace,Defender,France,-2000000.0
1387,2264,Emerson,23,26,20,"1,735",2.0,1.0,0.0,2.0,1.0,17,6,35.3,0.12,0.33,16.6,0.0,848.0,1060.0,80.0,13378.0,3797.0,36.0,1.87,32.0,0.0,0.0,1.0,2.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,54.0,33,27.0,67.5,17.0,18,72.0,75.0,0.0,West Ham United,Defender,Italy,-2000000.0
1388,1775,Nikola Milenkovic,24,27,23,"2,137",2.0,1.0,0.0,4.0,0.0,19,5,26.3,0.11,0.4,9.4,0.0,1107.0,1292.0,85.7,21399.0,6777.0,24.0,1.01,21.0,0.0,0.0,3.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,40.0,25,18.0,66.7,27.0,22,62.0,72.0,0.0,ACF Fiorentina,Defender,Serbia,-2000000.0
1389,772,Wout Weghorst,29,17,10,797,0.0,1.0,0.0,1.0,0.0,14,5,35.7,0.0,0.0,12.5,0.0,151.0,207.0,72.9,1773.0,457.0,27.0,3.05,22.0,0.0,1.0,2.0,1.0,1.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,11.0,5,2.0,22.2,7.0,7,18.0,9.0,0.0,Burnley FC,Attack,Netherlands,-2000000.0
