Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Smith Rowe Emile,22,"MF,FW",12,0,172,0,2,0,0,0,4,1,25.0,0.00,0.00,15.8,0,74,85,87.1,1070,240,9,4.68,6,1,0,2,0,0,1,0.52,1,0,0,0,0,0,1,1,1,33.3,1,0,1,2,0
Soares Cédric,30,DF,2,0,29,0,0,0,0,0,0,0,,,,,0,19,24,79.2,257,54,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0
Marquinhos,19,MF,1,0,1,0,0,0,0,0,0,0,,,,,0,2,3,66.7,34,5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Gea David,31,GK,38,38,"3,420",0,0,0,0,0,0,0,,,,,0,866,1218,71.1,22585,16134,5,0.13,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.0,0,1,1,15,3
Fernandes Bruno,27,"MF,FW",37,37,"3,316",8,8,2,6,0,90,32,35.6,0.07,0.19,20.8,6,1498,2029,73.8,25425,8933,219,5.94,164,26,8,12,9,0,18,0.49,16,0,0,1,1,0,68,42,30,42.3,37,25,93,40,1
Rashford Marcus,24,FW,35,32,"2,879",17,5,0,2,0,108,49,45.4,0.16,0.35,16.4,7,627,817,76.7,8886,2180,98,3.06,61,1,17,14,4,1,14,0.44,8,0,3,2,1,0,20,10,9,37.5,31,7,27,14,0
Shaw Luke,27,DF,31,30,"2,552",1,2,0,8,0,14,4,28.6,0.07,0.25,18.7,1,1757,2098,83.7,27648,10568,67,2.36,50,9,3,1,4,0,7,0.25,6,0,0,0,1,0,55,36,32,71.1,51,36,91,55,2
Eriksen Christian,30,MF,28,25,"2,048",1,8,0,3,0,39,11,28.2,0.03,0.09,19.3,4,1203,1485,81.0,19681,6193,71,3.12,50,17,1,3,0,0,9,0.40,6,3,0,0,0,0,22,18,10,31.3,23,11,33,20,1
Dalot Diogo,23,DF,26,24,"2,154",1,2,0,6,0,22,7,31.8,0.05,0.14,19.9,0,1141,1441,79.2,20816,6349,52,2.17,48,0,1,2,0,1,2,0.08,2,0,0,0,0,0,54,41,33,73.3,25,37,91,55,2
Casemiro,30,MF,28,24,"2,124",4,3,0,7,2,34,11,32.4,0.12,0.36,21.6,0,1114,1439,77.4,19801,7351,68,2.88,61,0,0,5,2,0,8,0.34,8,0,0,0,0,0,89,46,48,52.2,49,34,123,64,0
Martínez Lisandro,24,DF,27,24,"2,114",1,0,0,6,0,10,1,10.0,0.10,1.00,14.8,0,1330,1528,87.0,23895,8188,18,0.77,16,0,0,1,0,1,1,0.04,1,0,0,0,0,0,54,28,30,69.8,51,33,87,103,0
Antony,22,FW,25,23,"1,802",4,2,0,5,0,72,24,33.3,0.06,0.17,19.6,0,651,819,79.5,8497,1915,74,3.69,61,0,5,3,4,1,7,0.35,6,0,1,0,0,0,22,9,8,28.6,18,11,33,6,0
Varane Raphaël,29,DF,24,22,"1,911",0,0,0,1,0,8,4,50.0,0.00,0.00,11.6,0,954,1106,86.3,17988,5712,17,0.80,12,1,0,3,0,1,0,0.00,0,0,0,0,0,0,24,9,7,41.2,24,11,35,91,0
Sancho Jadon,22,"FW,MF",26,21,"1,686",6,3,0,0,0,21,9,42.9,0.29,0.67,14.1,0,647,776,83.4,7890,1794,87,4.64,80,1,4,2,0,0,9,0.48,7,0,2,0,0,0,16,10,8,28.6,25,7,23,6,0
Wan-Bissaka Aaron,24,DF,19,16,"1,435",0,0,0,2,0,10,2,20.0,0.00,0.00,14.7,0,706,840,84.0,9538,3292,30,1.88,29,0,0,1,0,0,1,0.06,1,0,0,0,0,0,40,25,23,92.0,24,22,62,41,0
Malacia Tyrell,22,DF,22,14,"1,396",0,0,0,6,0,5,2,40.0,0.00,0.00,22.1,0,694,802,86.5,10156,2981,19,1.22,19,0,0,0,0,0,0,0.00,0,0,0,0,0,0,46,33,14,56.0,13,25,71,49,0
Lindelöf Victor,28,DF,20,14,"1,365",0,0,0,1,0,3,0,0.0,0.00,,7.9,0,866,930,93.1,15313,4622,6,0.40,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,22,17,9,52.9,18,21,43,63,1
Fred,29,MF,35,12,"1,249",2,2,0,6,0,26,5,19.2,0.08,0.40,19.5,0,618,781,79.1,9392,2767,59,4.25,49,0,1,4,3,2,4,0.29,3,0,0,1,0,0,47,30,15,39.5,38,19,66,19,0
Martial Anthony,26,FW,21,11,978,6,2,1,0,0,26,12,46.2,0.19,0.42,13.2,0,263,328,80.2,3259,910,28,2.58,22,0,1,3,1,1,5,0.46,2,0,1,1,1,0,5,3,1,25.0,11,1,6,4,0
McTominay Scott,25,MF,24,10,"1,160",1,0,0,8,0,13,6,46.2,0.08,0.17,14.9,0,355,432,82.2,5433,1549,23,1.78,18,0,1,2,2,0,0,0.00,0,0,0,0,0,0,32,19,13,59.1,15,14,46,45,0
Weghorst Wout,29,"FW,MF",17,10,797,0,1,0,1,0,14,5,35.7,0.00,0.00,12.5,0,151,207,72.9,1773,457,27,3.05,22,0,1,2,1,1,2,0.23,2,0,0,0,0,0,11,5,2,22.2,7,7,18,9,0
Maguire Harry,29,DF,16,8,767,0,0,0,4,0,3,0,0.0,0.00,,9.0,0,491,577,85.1,9892,3056,5,0.59,5,0,0,0,0,0,1,0.12,1,0,0,0,0,0,8,6,4,80.0,18,13,21,41,0
Sabitzer Marcel,28,MF,11,7,627,0,1,0,1,0,11,3,27.3,0.00,0.00,18.2,1,237,307,77.2,3577,1123,20,2.87,16,1,0,1,2,0,3,0.43,3,0,0,0,0,0,12,8,2,18.2,6,8,20,11,0
Garnacho Alejandro,18,"FW,MF",19,5,569,3,2,0,3,0,24,9,37.5,0.13,0.33,16.3,0,150,187,80.2,1802,233,22,3.48,17,0,3,1,1,0,6,0.95,5,0,1,0,0,0,5,2,1,9.1,5,5,10,3,0
Elanga Anthony,20,FW,16,5,426,0,1,0,0,0,10,4,40.0,0.00,0.00,13.8,0,95,130,73.1,1201,298,17,3.59,13,0,0,3,1,0,1,0.21,1,0,0,0,0,0,3,0,1,50.0,4,2,5,4,0
Ronaldo Cristiano,37,FW,10,4,525,1,0,0,2,0,25,6,24.0,0.04,0.17,17.7,1,121,162,74.7,1412,258,10,1.71,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2,2,1,50.0,0,1,3,9,0
Beek Donny van,25,MF,7,2,167,0,0,0,0,0,2,0,0.0,0.00,,10.1,0,46,61,75.4,502,115,6,3.23,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.0,2,1,1,1,0
