Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Candreva Antonio,35,"MF,DF",35,32,"2,726",7,4,0,3,1,46,20,43.5,0.15,0.35,22.2,3,1165,1597,72.9,19672,6882,99,3.27,67,22,2,5,3,0,11,0.36,9,1,0,1,0,0,17,7,11,28.9,7,17,34,32,0
Dia Boulaye,25,"FW,MF",33,27,"2,518",16,6,1,4,0,47,21,44.7,0.32,0.71,15.0,0,449,589,76.2,6689,1268,64,2.29,53,0,3,5,3,0,9,0.32,8,0,1,0,0,0,12,5,2,28.6,10,7,19,27,1
Vilhena Tonny,27,MF,33,27,"2,265",4,1,0,5,0,31,9,29.0,0.13,0.44,26.0,1,662,864,76.6,10869,3264,53,2.11,37,9,3,1,3,0,3,0.12,3,0,0,0,0,0,44,22,20,40.0,17,18,62,21,0
Bradarić Domagoj,22,DF,31,24,"2,250",0,3,0,5,0,7,0,0.0,0.00,,23.8,1,857,1155,74.2,13414,4480,42,1.68,34,2,1,3,1,1,5,0.20,5,0,0,0,0,0,26,19,7,43.8,20,21,47,44,0
Daniliuc Flavius,21,DF,27,23,"2,195",0,2,0,9,0,10,4,40.0,0.00,0.00,13.1,1,969,1127,86.0,18211,7113,18,0.74,15,1,0,2,0,0,0,0.00,0,0,0,0,0,0,57,29,26,55.3,30,29,86,76,0
Piątek Krzysztof,27,FW,33,23,"2,140",4,5,1,5,0,57,19,33.3,0.05,0.16,15.5,1,379,558,67.9,5117,687,53,2.23,36,0,5,6,5,1,10,0.42,6,0,1,3,0,0,18,11,5,23.8,17,2,20,39,0
Mazzocchi Pasquale,27,DF,27,23,"1,958",2,3,0,2,0,18,6,33.3,0.11,0.33,21.0,1,702,949,74.0,11136,3985,63,2.90,43,12,5,0,2,1,9,0.41,5,1,2,0,1,0,32,18,17,45.9,10,10,42,37,2
Pirola Lorenzo,20,DF,26,23,"1,941",2,0,0,4,0,13,2,15.4,0.15,1.00,11.5,0,790,989,79.9,14168,5069,11,0.51,5,1,0,4,1,0,1,0.05,0,0,0,1,0,0,33,29,19,70.4,50,30,63,85,1
Gyömbér Norbert,30,DF,27,23,"1,740",0,1,0,5,0,8,0,0.0,0.00,,12.9,0,621,744,83.5,11217,4343,11,0.57,8,1,0,1,0,1,3,0.15,2,0,0,1,0,0,32,23,16,66.7,33,35,67,92,0
Ochoa Guillermo,37,GK,20,20,"1,800",0,0,0,1,0,0,0,,,,,0,441,760,58.0,14422,10713,5,0.25,5,0,0,0,0,0,2,0.10,2,0,0,0,0,0,0,0,0,0.0,0,0,0,9,1
Bronn Dylan,27,DF,24,19,"1,683",0,0,0,5,1,8,1,12.5,0.00,0.00,15.8,0,855,1007,84.9,15486,6081,14,0.75,12,0,0,2,0,0,2,0.11,2,0,0,0,0,0,34,18,20,66.7,32,20,54,58,1
Sepe Luigi,31,GK,17,17,"1,530",0,0,0,3,0,0,0,,,,,0,441,648,68.1,11985,9017,1,0.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
Kastanos Grigoris,24,"MF,DF",28,13,"1,286",2,1,0,4,0,30,9,30.0,0.07,0.22,22.2,0,460,621,74.1,6840,2528,36,2.52,25,7,1,1,2,0,5,0.35,1,2,0,1,1,0,39,23,16,40.0,20,8,47,8,0
Bonazzoli Federico,25,"FW,MF",24,12,"1,119",2,1,0,1,0,32,7,21.9,0.06,0.29,18.9,1,264,354,74.6,4654,966,26,2.09,20,0,1,3,2,0,3,0.24,3,0,0,0,0,0,5,3,0,0.0,9,3,8,0,0
Fazio Federico,35,DF,14,12,"1,074",1,0,0,2,1,11,2,18.2,0.09,0.50,10.7,0,410,536,76.5,7740,3216,12,1.00,7,1,0,4,0,0,0,0.00,0,0,0,0,0,0,15,12,4,36.4,9,28,43,61,0
Maggiore Giulio,24,MF,16,11,894,0,0,0,2,0,6,0,0.0,0.00,,16.7,0,351,472,74.4,5873,1564,14,1.41,11,0,0,2,1,0,1,0.10,1,0,0,0,0,0,20,8,10,47.6,19,8,28,10,0
Botheim Erik,22,"MF,FW",28,9,866,1,3,0,2,0,7,1,14.3,0.14,1.00,13.5,0,165,231,71.4,2038,460,17,1.77,12,0,0,2,1,2,4,0.42,4,0,0,0,0,0,11,7,6,46.2,3,0,11,4,0
Bohinen Emil,23,MF,24,9,832,0,0,0,0,0,4,0,0.0,0.00,,25.9,0,404,479,84.3,5591,1452,17,1.85,15,1,0,1,0,0,0,0.00,0,0,0,0,0,0,25,13,12,52.2,25,17,42,21,0
Lovato Matteo,22,DF,17,8,814,0,0,0,2,0,1,0,0.0,0.00,,22.0,0,274,325,84.3,5071,1760,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,14,10,40.0,8,13,30,33,2
Sambia Junior,25,DF,22,7,697,0,1,0,3,0,13,5,38.5,0.00,0.00,24.1,5,312,396,78.8,4617,1867,22,2.84,17,0,4,1,0,0,1,0.13,1,0,0,0,0,0,12,5,6,60.0,9,8,20,16,1
Radovanović Ivan,33,"MF,DF",10,7,671,0,0,0,1,1,7,0,0.0,0.00,,33.0,0,214,265,80.8,4318,1602,2,0.27,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,12,4,4,40.0,9,7,19,9,1
Nicolussi Caviglia Hans,22,MF,12,6,586,1,0,0,2,0,5,1,20.0,0.20,1.00,23.4,0,184,248,74.2,3241,951,9,1.38,7,0,1,0,0,1,0,0.00,0,0,0,0,0,0,15,6,9,60.0,9,7,22,7,1
Troost-Ekong William,28,DF,9,4,444,1,0,0,1,0,2,1,50.0,0.50,1.00,9.0,0,148,179,82.7,3117,1047,1,0.20,1,0,0,0,0,0,1,0.20,1,0,0,0,0,0,11,3,6,85.7,7,6,17,10,0
