Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Le Douaron Jérémy,24,"MF,FW",32,24,"2,071",10,3,0,1,0,55,23,41.8,0.18,0.43,11.1,0,264,390,67.7,3664,803,46,2.00,26,0,2,9,6,3,6,0.26,3,0,0,3,0,0,15,9,3,11.1,29,11,26,30,0
Camara Mahdi,24,MF,31,20,"1,820",2,0,0,4,1,24,7,29.2,0.08,0.29,16.3,0,578,703,82.2,8665,2082,38,1.87,25,0,6,3,2,2,2,0.10,0,0,1,0,1,0,63,36,25,58.1,35,40,103,16,0
Mounié Steve,27,FW,23,20,"1,655",6,0,1,2,0,58,19,32.8,0.09,0.26,14.9,0,253,458,55.2,3503,841,37,2.01,24,0,0,10,1,2,4,0.22,2,0,0,2,0,0,13,5,5,35.7,18,3,16,20,0
Magnetti Hugo,24,MF,32,19,"1,688",1,2,0,2,0,17,6,35.3,0.06,0.17,24.7,0,634,762,83.2,11461,2712,34,1.81,29,0,2,2,0,1,5,0.27,3,0,0,1,0,1,43,27,23,36.5,21,25,68,12,0
Del Castillo Romain,26,"MF,FW",27,16,"1,422",6,6,5,2,0,31,11,35.5,0.03,0.09,20.7,3,448,673,66.6,7887,2950,68,4.31,40,18,3,3,2,2,13,0.82,8,3,1,0,1,0,39,24,16,44.4,14,11,50,5,0
Lala Kenny,30,DF,17,16,"1,417",0,2,0,4,0,12,3,25.0,0.00,0.00,25.6,2,660,874,75.5,13499,5197,40,2.54,20,16,1,1,2,0,3,0.19,3,0,0,0,0,0,36,19,22,57.9,15,21,57,28,0
Fadiga Noah,22,DF,21,16,"1,308",1,0,0,2,0,11,3,27.3,0.09,0.33,18.3,0,499,625,79.8,7725,2860,15,1.03,8,0,3,0,3,1,2,0.14,1,0,1,0,0,0,30,21,14,53.8,17,26,56,18,0
Pereira Lage Mathias,25,"MF,FW",24,16,"1,264",2,1,0,2,0,21,9,42.9,0.10,0.22,18.8,1,257,387,66.4,4010,1256,28,1.99,19,3,2,1,3,0,3,0.21,2,0,0,0,1,0,20,7,11,37.9,10,14,34,12,0
Dari Achraf,23,DF,18,15,"1,317",1,0,0,1,0,4,2,50.0,0.25,0.50,15.4,0,547,690,79.3,12287,4337,7,0.48,3,2,0,0,1,1,2,0.14,1,0,0,0,1,0,21,14,14,70.0,16,19,40,65,2
Hérelle Christophe,29,DF,16,12,"1,060",0,0,0,2,0,3,0,0.0,0.00,,16.4,0,377,440,85.7,7609,2474,6,0.51,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0,10,4,4,30.8,16,20,30,48,0
