Players,Values
Ilija Nestorovski,€700k 
Vanja Milinković-Savić,€2.50m 
Etrit Berisha,€800k 
Luca Gemello,€300k 
Alberto Milan,€100k 
Bremer,€35.00m 
David Zima,€7.00m 
Alessandro Buongiorno,€4.00m 
Ricardo Rodríguez,€3.40m 
Koffi Djidji,€3.00m 
Armando Izzo,€2.80m 
Andrei Anton,€75k 
Cristian Ansaldi,€700k 
Samuele Angori,€200k 
Stephane Singo,€15.00m 
Mërgim Vojvoda,€5.50m 
Ola Aina,€3.50m 
Samuele Ricci,€12.00m 
Rolando Mandragora,€10.00m 
Tomás Rincón,€1.00m 
Tommaso Pobega,€16.00m 
Sasa Lukic,€15.00m 
Dennis Praet,€13.00m 
Karol Linetty,€3.50m 
Jacopo Segre,€1.60m 
Daniele Baselli,€1.40m 
Ben Lhassine Kone,€450k 
Matthew Garbett,€150k 
Mohamed Fares,€4.00m 
Simone Verdi,€5.00m 
Dennis Stojkovic,€200k 
Josip Brekalo,€15.00m 
Marko Pjaca,€3.50m 
Magnus Warming,€900k 
Demba Seck,€3.00m 
Simone Edera,€500k 
Andrea Belotti,€20.00m 
Antonio Sanabria,€7.50m 
Pietro Pellegri,€4.50m 
Simone Zaza,€1.00m 
Nicola Rauti,€300k 
Lado Akhalaia,€25k 
Lukasz Skorupski,€4.00m 
Francesco Bardi,€600k 
Marco Molla,€100k 
Arthur Theate,€15.00m 
Adama Soumaoro,€4.00m 
Kevin Bonifazi,€3.80m 
Luis Binks,€1.50m 
Gabriele Corbo,€700k 
Omar Khailoti,€100k 
Mitchell Dijks,€2.00m 
Ebenezer Annan,€200k 
Takehiro Tomiyasu,€25.00m 
Aaron Hickey,€18.00m 
Denso Kasius,€2.00m 
Lorenzo De Silvestri,€1.50m 
Ibrahima Mbaye,€700k 
Jerdy Schouten,€9.00m 
Gary Medel,€1.00m 
Kacper Urbanski,€200k 
Mattias Svanberg,€15.00m 
Nicolás Domínguez,€13.00m 
Michel Aebischer,€3.50m 
Nicolas Viola,€600k 
Andri Fannar Baldursson,€600k 
Kingsley Michael,€400k 
Niklas Pyyhtiä,€400k 
Roberto Soriano,€5.00m 
Luis Rojas,€1.00m 
Musa Barrow,€18.00m 
Nicola Sansone,€2.00m 
Gianmarco Cangiano,€800k 
Musa Juwara,€600k 
Andreas Skov Olsen,€12.00m 
Riccardo Orsolini,€10.00m 
Emanuel Vignato,€5.00m 
Marko Arnautovic,€6.00m 
Sydney van Hooijdonk,€1.30m 
Diego Falcinelli,€800k 
Federico Santander,€600k 
Mattia Pagliuca,€200k 
Michele Di Gregorio,€3.80m 
Eugenio Lamanna,€200k 
Daniele Sommariva,€100k 
Stefano Rubbi,€75k 
Gianluca Ravarelli,€10k 
Lorenzo Pirola,€2.20m 
Davide Bettella,€2.00m 
Luca Caldirola,€1.00m 
Valentin Antov,€800k 
Luca Marrone,€400k 
Giuseppe Bellusci,€350k 
Gabriel Paletta,€200k 
Carlos Augusto,€4.50m 
Pedro Pereira,€2.30m 
Giulio Donati,€600k 
Mario Sampirisi,€600k 
Luca Mazzitelli,€2.40m 
Andrea Barberis,€1.50m 
Antonis Siatounis,€450k 
Matteo Scozzarella,€300k 
Andrea Colpani,€2.40m 
Mattia Valoti,€2.00m 
José Machín,€1.70m 
Marco Brescianini,€350k 
Antonino Barillà,€300k 
Salvatore Molina,€1.10m 
Gastón Ramírez,€900k 
Samuele Vignato,€600k 
Patrick Ciurria,€1.60m 
Marco D'Alessandro,€1.10m 
Dany Mota,€6.00m 
Leonardo Mancuso,€2.70m 
Andrea Favilli,€1.50m 
Christian Gytkjaer,€1.40m 
Mattia Finotto,€300k 
Luigi Sepe,€1.40m 
Vid Belec,€500k 
Vincenzo Fiorillo,€300k 
Antonio Russo,€100k 
Guido Guerrieri,€75k 
Jacopo De Matteis,€50k 
Radu Dragusin,€3.50m 
Luca Ranieri,€2.50m 
Norbert Gyomber,€1.00m 
Luka Bogdan,€850k 
Riccardo Gagliolo,€800k 
Federico Fazio,€600k 
Stefan Strandberg,€500k 
Frédéric Veseli,€400k 
Filippo Delli Carri,€350k 
Ramzi Aya,€250k 
Andrei Motoc,€100k 
Mario Perrone,€75k 
Matteo Ruggeri,€2.00m 
Pasquale Mazzocchi,€1.50m 
Nadir Zortea,€1.40m 
Wajdi Kechrida,€800k 
Ivan Radovanovic,€600k 
Andrea Schiavone,€400k 
Francesco Di Tacchio,€400k 
Éderson,€13.00m 
Emil Bohinen,€4.00m 
Lassana Coulibaly,€3.00m 
Mamadou Coulibaly,€2.50m 
Grigoris Kastanos,€1.50m 
Leonardo Capezzi,€600k 
Joel Obi,€500k 
Alessandro Russo,€100k 
Antonio Pio Iervolino,€50k 
Sedrick Kalombo,€150k 
Pawel Jaroszynski,€600k 
Simone Verdi,€5.00m 
Franck Ribéry,€1.00m 
Diego Perotti,€500k 
Lys Mousset,€6.00m 
Federico Bonazzoli,€5.00m 
Mikael,€2.00m 
Simy,€1.50m 
Milan Djuric,€1.50m 
Cedric Gondo,€700k 
Edoardo Vergani,€600k 
Julian Kristoffersen,€200k 
Angelo Guida,€75k 
Carmine Iannone,€25k 
Lorenzo Cannavale,€10k 
Guglielmo Vicario,€10.00m 
Alberto Brignoli,€1.20m 
Jacopo Furlan,€300k 
Samir Ujkani,€200k 
Klemen Hvalic,€100k 
Valerio Biagini,€75k 
Mattia Viti,€7.00m 
Sebastiano Luperto,€3.00m 
Ardian Ismajli,€1.80m 
Simone Canestrelli,€1.00m 
Simone Romagnoli,€1.00m 
Lorenzo Tonelli,€1.00m 
Leonardo Pezzola,€125k 
Fabiano Parisi,€4.50m 
Liberato Cacace,€2.50m 
Riccardo Marchizza,€2.00m 
Alessio Rizza,€150k 
Petar Stojanovic,€3.00m 
Riccardo Fiamozzi,€500k 
Samuele Ricci,€12.00m 
Kristjan Asllani,€10.00m 
Leo Stulac,€2.20m 
Duccio Degli Innocenti,€500k 
Samuele Damiani,€250k 
Szymon Zurkowski,€7.00m 
Filippo Bandinelli,€3.00m 
Nicolas Haas,€3.00m 
Liam Henderson,€2.80m 
Marco Benassi,€2.40m 
Giovanni Crociata,€550k 
Jacopo Fazzini,€250k 
Nedim Bajrami,€10.00m 
Valerio Verre,€2.50m 
Tommaso Baldanzi,€800k 
Federico Di Francesco,€2.00m 
Andrea Pinamonti,€20.00m 
Patrick Cutrone,€3.50m 
Leonardo Mancuso,€2.70m 
Andrea La Mantia,€1.30m 
Emmanuel Ekong,€300k 
Gabriel,€1.50m 
Alessandro Plizzari,€800k 
Marco Bleve,€200k 
Alexandru Borbei,€150k 
Jasper Samooja,€75k 
Alessandro Tuia,€900k 
Kastriot Dermaku,€800k 
Fabio Lucioni,€600k 
Lorenco Simic,€600k 
Brynjar Ingi Bjarnason,€400k 
Biagio Meccariello,€250k 
Ilario Monterisi,€225k 
Emin Hasić,€75k 
Antonio Barreca,€1.50m 
Antonino Gallo,€1.00m 
Brayan Vera,€400k 
Valentin Gendrey,€1.70m 
Arturo Calabresi,€1.50m 
Romario Benzar,€250k 
Morten Hjulmand,€6.50m 
Alexis Blin,€2.20m 
Mario Gargiulo,€1.70m 
Zan Majer,€1.70m 
Paolo Faragò,€1.00m 
John Björkengren,€800k 
Thórir Jóhann Helgason,€700k 
Joan González,€250k 
Marcin Listkowski,€400k 
Francesco Di Mariano,€2.00m 
Marco Olivieri,€1.00m 
Antonino Ragusa,€400k 
Mattia Felici,€75k 
Gabriel Strefezza,€6.50m 
Luca Paganini,€400k 
Pablo Rodríguez,€2.00m 
Massimo Coda,€1.50m 
Raúl Asencio,€250k 
Lorenzo Montipò,€4.50m 
Ivor Pandur,€1.00m 
Mattia Chiesa,€100k 
Kaur Kivila,€75k 
Alessandro Berardi,€50k 
Nicola Borghetto,€25k 
Nicolò Casale,€7.50m 
Koray Günter,€5.00m 
Pawel Dawidowicz,€4.50m 
Federico Ceccherini,€4.00m 
Giangiacomo Magnani,€3.60m 
Bosko Sutalo,€3.00m 
Panagiotis Retsos,€2.80m 
Bruno Amione,€2.00m 
Mert Cetin,€1.70m 
Diego Coppola,€1.00m 
Gianluca Frabotta,€2.00m 
Davide Faraoni,€5.00m 
Fabio Depaoli,€2.80m 
Kevin Rüegg,€1.20m 
Adrien Tamèze,€10.00m 
Martin Hongla,€4.00m 
Miguel Veloso,€900k 
Ivan Ilic,€14.00m 
Daniel Bessa,€2.50m 
Christian Pierobon,€125k 
Mattia Turra,€50k 
Filippo Terracciano,€250k 
Darko Lazovic,€4.00m 
Antonin Barak,€20.00m 
Mateusz Praszelik,€1.40m 
Mattia Zaccagni,€18.00m 
Antonino Ragusa,€400k 
Matteo Cancellieri,€3.00m 
Gianluca Caprari,€10.00m 
Mattia Florio,€150k 
Giovanni Simeone,€17.00m 
Kevin Lasagna,€3.50m 
Nikola Kalinic,€800k 
Samuel Di Carmine,€600k 
David Flakus Bosilj,€450k 
Adrian Semper,€1.50m 
Salvatore Sirigu,€1.50m 
Lorenzo Andrenacci,€100k 
Federico Marchetti,€100k 
Rok Vodisek,€50k 
Zinho Vanheusden,€8.00m 
Leo Östigard,€5.00m 
Johan Vásquez,€4.00m 
Nikola Maksimovic,€2.50m 
Mattia Bani,€1.80m 
Andrea Masiello,€400k 
Laurens Serpe,€175k 
Andrea Cambiaso,€5.00m 
Riccardo Calafiori,€3.50m 
Lennart Czyborra,€2.30m 
Domenico Criscito,€600k 
Silvan Hefti,€5.00m 
Davide Biraschi,€2.00m 
Paolo Ghiglione,€2.00m 
Stefano Sabelli,€1.50m 
Nicolò Rovella,€10.00m 
Abdoulaye Touré,€2.50m 
Milan Badelj,€1.00m 
Valon Behrami,€300k 
Nadiem Amiri,€8.00m 
Morten Frendrup,€3.70m 
Stefano Sturaro,€3.00m 
Hernani,€3.00m 
Pablo Galdames,€3.00m 
Manolo Portanova,€2.50m 
Filippo Melegoni,€2.00m 
Francesco Cassata,€900k 
Steeve-Mike Eyango,€150k 
Mohamed Fares,€4.00m 
Kevin Agudelo,€3.50m 
Albert Gudmundsson,€2.40m 
Yayah Kallon,€1.50m 
Goran Pandev,€400k 
Kelvin Yeboah,€5.00m 
Roberto Piccoli,€4.00m 
Eddie Salcedo,€3.50m 
Mattia Destro,€3.00m 
Caleb Ekuban,€1.80m 
Felipe Caicedo,€1.50m 
Andrea Favilli,€1.50m 
Aleksander Buksa,€1.20m 
Flavio Bianchi,€900k 
Alessio Cragno,€10.00m 
Boris Radunović,€400k 
Andrea D'Aniello,€200k 
Simone Aresti,€100k 
Eugenio Fusco,€25k 
Matteo Lovato,€7.00m 
Sebastian Walukiewicz,€5.00m 
Andrea Carboni,€5.00m 
Giorgio Altare,€2.00m 
Diego Godín,€1.00m 
Edoardo Goldaniga,€1.00m 
Martín Cáceres,€900k 
Adam Obert,€900k 
Luca Ceppitelli,€800k 
Luigi Palomba,€200k 
Iurie Iovu,€100k 
Dalbert,€2.50m 
Charalampos Lykogiannis,€2.20m 
Raoul Bellanova,€7.00m 
Gabriele Zappa,€3.80m 
Alberto Grassi,€2.50m 
Christian Oliva,€1.50m 
Riccardo Ladinetti,€200k 
Nahitan Nández,€13.00m 
Razvan Marin,€12.00m 
Marko Rog,€6.00m 
Alessandro Deiola,€2.00m 
Kevin Strootman,€1.50m 
Daniele Baselli,€1.40m 
Paolo Faragò,€1.00m 
Christos Kourfalidis,€700k 
Gastón Pereiro,€3.00m 
Nicolò Cavuoti,€250k 
Isaías Delpupo,€200k 
Diego Farias,€1.00m 
Jacopo Desogus,€500k 
Zito Luvumbo,€800k 
Lisandru Tramoni,€400k 
Giovanni Simeone,€17.00m 
João Pedro,€12.00m 
Keita Baldé,€3.00m 
Alberto Cerri,€2.00m 
Leonardo Pavoletti,€1.60m 
Damir Ceter,€600k 
Luca Gagliano,€250k 
Federico Ravaglia,€500k 
Stefano Minelli,€400k 
Victor De Lucia,€275k 
Giuseppe Marcianò,€50k 
Federico Gatti,€5.00m 
Adrian Leon Barisic,€900k 
Przemyslaw Szyminski,€800k 
Nicolò Brighenti,€200k 
Sergio Kalaj,€150k 
Luka Koblar,€125k 
Alessio Maestrelli,€100k 
Federico Bevilacqua,€75k 
Milan Kremenovic,€75k 
Matteo Cotali,€600k 
Lukas Klitten,€250k 
Salvatore D'Elia,€50k 
Tiago Casasola,€1.00m 
Francesco Zampano,€800k 
Anthony Oyono,€300k 
Matteo Ricci,€3.00m 
Raffaele Maiello,€850k 
Daniel Boloca,€1.10m 
Karlo Lulic,€900k 
Marcus Rohdén,€400k 
Mirko Gori,€250k 
Mattia Vitale,€175k 
Andrea Tabanelli,€100k 
Marko Bozic,€350k 
Luca Garritano,€1.50m 
Alessio Tribuzzi,€400k 
Alessio Zerbin,€2.50m 
Emanuele Cicerelli,€500k 
Giacomo Manzari,€150k 
Hamza Haoudi,€100k 
Luigi Canotto,€800k 
Gabriel Charpentier,€3.50m 
Andrija Novakovich,€1.00m 
Pietro Iemmello,€750k 
Camillo Ciano,€500k 
Alexander Satariano,€150k 
Simone Stampete,€100k 
Manuel Neuer,€15.00m 
Sven Ulreich,€900k 
Christian Früchtl,€600k 
Ron-Thorben Hoffmann,€500k 
Lucas Hernández,€50.00m 
Dayot Upamecano,€40.00m 
Niklas Süle,€35.00m 
Tanguy Nianzou,€9.00m 
Chris Richards,€7.50m 
Bright Arrey-Mbi,€1.30m 
Jamie Lawrence,€1.00m 
Alphonso Davies,€70.00m 
Omar Richards,€7.00m 
Benjamin Pavard,€30.00m 
Josip Stanisic,€4.00m 
Bouna Sarr,€2.50m 
Joshua Kimmich,€80.00m 
Marc Roca,€7.00m 
Nicolas Feldhahn,€125k 
Leon Goretzka,€65.00m 
Marcel Sabitzer,€15.00m 
Corentin Tolisso,€15.00m 
Michaël Cuisance,€4.00m 
Taylor Booth,€1.00m 
Timo Kern,€200k 
Jamal Musiala,€65.00m 
Paul Wanner,€2.00m 
Malik Tillman,€1.50m 
Kingsley Coman,€60.00m 
Gabriel Vidovic,€3.00m 
Nemanja Motika,€1.20m 
Serge Gnabry,€65.00m 
Leroy Sané,€60.00m 
Thomas Müller,€22.00m 
Robert Lewandowski,€45.00m 
Eric Maxim Choupo-Moting,€3.00m 
Lucas Copado,€1.00m 
Lukas Hradecky,€5.00m 
Andrey Lunev,€2.50m 
Lennart Grill,€1.00m 
Niklas Lomb,€250k 
Edmond Tapsoba,€35.00m 
Jonathan Tah,€25.00m 
Odilon Kossounou,€20.00m 
Piero Hincapié,€17.00m 
Panagiotis Retsos,€2.80m 
Mitchel Bakker,€14.00m 
Wendell,€5.00m 
Daley Sinkgraven,€4.00m 
Jeremie Frimpong,€20.00m 
Timothy Fosu-Mensah,€4.00m 
Mitchell Weiser,€1.50m 
Robert Andrich,€13.00m 
Julian Baumgartlinger,€800k 
Kerem Demirbay,€15.00m 
Exequiel Palacios,€15.00m 
Nadiem Amiri,€8.00m 
Charles Aránguiz,€3.50m 
Zidan Sertdemir,€2.00m 
Florian Wirtz,€70.00m 
Amine Adli,€12.00m 
Paulinho,€11.00m 
Moussa Diaby,€60.00m 
Karim Bellarabi,€3.00m 
Patrik Schick,€50.00m 
Sardar Azmoun,€22.00m 
Lucas Alario,€8.00m 
Joel Pohjanpalo,€2.50m 
Emrehan Gedikli,€1.20m 
Iker Bravo,€1.00m 
Gregor Kobel,€22.00m 
Luca Unbehaun,€1.50m 
Roman Bürki,€1.50m 
Marwin Hitz,€1.00m 
Stefan Drljaca,€200k 
Manuel Akanji,€30.00m 
Dan-Axel Zagadou,€9.00m 
Mats Hummels,€6.50m 
Marin Pongracic,€6.00m 
Soumaïla Coulibaly,€750k 
Antonios Papadopoulos,€350k 
Raphaël Guerreiro,€25.00m 
Nico Schulz,€4.00m 
Tom Rothe,€1.20m 
Marcel Schmelzer,€500k 
Thomas Meunier,€6.50m 
Marius Wolf,€6.50m 
Mateu Morey Bauzà,€4.00m 
Felix Passlack,€1.50m 
Lion Semic,€500k 
Emre Can,€16.00m 
Axel Witsel,€4.00m 
Abdoulaye Kamara,€1.00m 
Lennard Maloney,€350k 
Jude Bellingham,€80.00m 
Mahmoud Dahoud,€18.00m 
Thomas Delaney,€7.00m 
Tobias Raschl,€1.00m 
Marco Pasalic,€275k 
Giovanni Reyna,€35.00m 
Julian Brandt,€25.00m 
Marco Reus,€11.00m 
Reinier,€8.00m 
Immanuel Pherai,€700k 
Göktan Gürpüz,€250k 
Thorgan Hazard,€15.00m 
Jamie Bynoe-Gittens,€4.00m 
Donyell Malen,€27.00m 
Ansgar Knauff,€10.00m 
Justin Njinmah,€400k 
Erling Haaland,€150.00m 
Youssoufa Moukoko,€15.00m 
Steffen Tigges,€1.50m 
Péter Gulácsi,€8.00m 
Josep Martínez,€2.20m 
Philipp Tschauner,€300k 
Fabian Eutinger,€100k 
Josko Gvardiol,€35.00m 
Mohamed Simakan,€22.00m 
Willi Orbán,€10.00m 
Angeliño,€30.00m 
Marcel Halstenberg,€5.00m 
Nordi Mukiele,€20.00m 
Lukas Klostermann,€18.00m 
Benjamin Henrichs,€14.00m 
Solomon Bonnah,€750k 
Tyler Adams,€17.00m 
Konrad Laimer,€28.00m 
Amadou Haidara,€24.00m 
Marcel Sabitzer,€15.00m 
Ilaix Moriba,€9.00m 
Kevin Kampl,€6.00m 
Sidney Raebiger,€750k 
Ben Klefisch,€200k 
Dani Olmo,€40.00m 
Dominik Szoboszlai,€28.00m 
Emil Forsberg,€11.00m 
Hugo Novoa,€3.00m 
Joscha Wosz,€350k 
Fabrice Hartmann,€300k 
Christopher Nkunku,€80.00m 
André Silva,€32.00m 
Hee-chan Hwang,€16.00m 
Yussuf Poulsen,€14.00m 
Brian Brobbey,€9.00m 
Kevin Trapp,€7.00m 
Diant Ramaj,€750k 
Jens Grahl,€200k 
Jannik Horz,€200k 
Evan Ndicka,€32.00m 
Tuta,€13.00m 
Martin Hinteregger,€9.00m 
Almamy Touré,€3.50m 
Makoto Hasebe,€800k 
Christopher Lenz,€4.00m 
Jan Schröder,€200k 
Danny da Costa,€2.30m 
Timothy Chandler,€1.20m 
Erik Durm,€1.20m 
Kristijan Jakic,€9.00m 
Stefan Ilsanker,€1.00m 
Djibril Sow,€22.00m 
Sebastian Rode,€2.50m 
Aymen Barkok,€1.80m 
Antonio Foti,€400k 
Filip Kostic,€24.00m 
Daichi Kamada,€22.00m 
Jesper Lindström,€17.00m 
Ajdin Hrustic,€3.00m 
Steven Zuber,€2.50m 
Amin Younes,€1.50m 
Fabio Blanco,€750k 
Gianluca Schäfer,€150k 
Ansgar Knauff,€10.00m 
Jens Petter Hauge,€8.00m 
Rafael Borré,€20.00m 
Sam Lammers,€3.00m 
Gonçalo Paciência,€3.00m 
Ragnar Ache,€1.50m 
Enrique Herrero,€300k 
Koen Casteels,€11.00m 
Pavao Pervan,€600k 
Philipp Schulze,€200k 
Niklas Klinger,€100k 
Maxence Lacroix,€20.00m 
Sebastiaan Bornauw,€10.00m 
John Anthony Brooks,€7.00m 
Marin Pongracic,€6.00m 
Micky van de Ven,€4.00m 
Anselmo García MacNulty,€300k 
Paulo Otávio,€6.00m 
Jérôme Roussillon,€4.50m 
Ridle Baku,€20.00m 
Kevin Mbabu,€9.00m 
William,€2.50m 
Jannis Lang,€200k 
Josuha Guilavogui,€3.50m 
Xaver Schlager,€27.00m 
Maximilian Arnold,€17.00m 
Aster Vranckx,€10.00m 
Yannick Gerhardt,€6.00m 
Kevin Paredes,€5.00m 
Felix Nmecha,€2.00m 
Josip Brekalo,€15.00m 
Dodi Lukébakio,€7.50m 
Renato Steffen,€2.00m 
Luca Waldschmidt,€7.00m 
Maximilian Philipp,€4.50m 
Max Kruse,€3.50m 
Admir Mehmedi,€1.00m 
Lukas Nmecha,€18.00m 
Wout Weghorst,€14.00m 
Jonas Wind,€14.00m 
Omar Marmoush,€6.00m 
Bartosz Bialek,€4.00m 
Daniel Ginczek,€900k 
Frederik Rönnow,€2.00m 
Andreas Luthe,€800k 
Jakob Busk,€250k 
Marvin Friedrich,€8.00m 
Paul Jaeckel,€5.00m 
Timo Baumgartl,€5.00m 
Robin Knoche,€5.00m 
Dominique Heintz,€2.50m 
Rick van Drongelen,€1.50m 
Sebastian Griesbeck,€700k 
Mathis Bruns,€200k 
Tymoteusz Puchacz,€2.30m 
Niko Gießelmann,€2.30m 
Bastian Oczipka,€600k 
Julian Ryerson,€4.00m 
Christopher Trimmel,€900k 
Robert Andrich,€13.00m 
Rani Khedira,€6.00m 
Grischa Prömel,€7.50m 
András Schäfer,€2.00m 
Levin Öztunali,€1.50m 
Kevin Möhwald,€1.50m 
Fabio Schneider,€200k 
Maximilian Somnitz,€200k 
Pawel Wszolek,€1.20m 
Laurenz Dehl,€250k 
Genki Haraguchi,€2.50m 
Keita Endo,€900k 
Sheraldo Becker,€7.00m 
Max Kruse,€3.50m 
Taiwo Awoniyi,€20.00m 
Marcus Ingvartsen,€2.50m 
Andreas Voglsammer,€1.20m 
Sven Michel,€1.20m 
Cedric Teuchert,€900k 
Kevin Behrens,€900k 
Anthony Ujah,€500k 
Suleiman Abdullahi,€400k 
Yann Sommer,€5.00m 
Tobias Sippel,€400k 
Jan Olschowsky,€300k 
Jonas Kersken,€100k 
Matthias Ginter,€18.00m 
Nico Elvedi,€18.00m 
Marvin Friedrich,€8.00m 
Jordan Beyer,€4.50m 
Tony Jantschke,€800k 
Tom Gaal,€100k 
Mamadou Doucouré,€100k 
Ramy Bensebaini,€17.00m 
Luca Netz,€6.50m 
Joe Scally,€8.00m 
Stefan Lainer,€4.50m 
Denis Zakaria,€27.00m 
Christoph Kramer,€2.50m 
Florian Neuhaus,€20.00m 
Manu Koné,€18.00m 
László Bénes,€3.00m 
Keanan Bennetts,€1.00m 
Lars Stindl,€2.50m 
Conor Noß,€700k 
Torben Müsel,€400k 
Alassane Plea,€15.00m 
Hannes Wolf,€5.00m 
Mika Schroers,€100k 
Jonas Hofmann,€13.00m 
Patrick Herrmann,€2.30m 
Marcus Thuram,€20.00m 
Breel Embolo,€15.00m 
Mark Flekken,€7.00m 
Noah Atubolu,€1.50m 
Benjamin Uphoff,€500k 
Nico Schlotterbeck,€33.00m 
Philipp Lienhart,€18.00m 
Keven Schlotterbeck,€3.00m 
Dominique Heintz,€2.50m 
Manuel Gulde,€1.70m 
Kenneth Schmidt,€500k 
Christian Günter,€12.00m 
Hugo Siquet,€5.50m 
Lukas Kübler,€2.30m 
Kiliann Sildillia,€1.50m 
Jonathan Schmid,€1.20m 
Baptiste Santamaria,€14.00m 
Yannik Keitel,€4.00m 
Nicolas Höfler,€2.50m 
Yannik Engelhardt,€400k 
Maximilian Eggestein,€8.00m 
Janik Haberer,€3.50m 
Robert Wagner,€500k 
Kimberly Ezekwem,€300k 
Vincenzo Grifo,€12.00m 
Noah Weißhaupt,€1.70m 
Nishan Burkart,€350k 
Roland Sallai,€12.00m 
Kevin Schade,€7.00m 
Woo-yeong Jeong,€5.50m 
Lucas Höler,€6.50m 
Ermedin Demirovic,€6.00m 
Nils Petersen,€1.50m 
Vincent Vermeij,€400k 
Rafal Gikiewicz,€1.20m 
Tomas Koubek,€1.00m 
Daniel Klein,€200k 
Reece Oxford,€12.00m 
Felix Uduokhai,€10.00m 
Jeffrey Gouweleeuw,€3.50m 
Frederik Winther,€1.00m 
Iago,€5.50m 
Mads Pedersen,€2.00m 
Lasse Günther,€1.00m 
Robert Gumny,€2.50m 
Raphael Framberger,€1.50m 
Niklas Dorsch,€10.00m 
Carlos Gruezo,€3.20m 
Tobias Strobl,€900k 
Arne Maier,€5.50m 
Jan Moravek,€500k 
Tim Civeja,€200k 
Dominic Schmidt,€100k 
Fredrik Jensen,€1.50m 
Rubén Vargas,€8.00m 
André Hahn,€2.00m 
Noah Joel Sarenren Bazee,€1.00m 
Daniel Caligiuri,€800k 
Ricardo Pepi,€9.00m 
Michael Gregoritsch,€4.50m 
Andi Zeqiri,€2.30m 
Florian Niederlechner,€2.20m 
Sergio Córdova,€1.00m 
Alfred Finnbogason,€700k 
Maurice Malone,€500k 
Florian Müller,€5.50m 
Fabian Bredlow,€500k 
Florian Schock,€200k 
Konstantinos Mavropanos,€15.00m 
Waldemar Anton,€6.00m 
Marc Oliver Kempf,€4.50m 
Hiroki Ito,€4.50m 
Clinton Mola,€1.00m 
Matej Maglica,€900k 
Borna Sosa,€23.00m 
Pascal Stenzel,€1.50m 
Wataru Endo,€8.00m 
Atakan Karazor,€4.50m 
Luca Bazzoli,€225k 
Richard Weil,€50k 
Orel Mangala,€15.00m 
Enzo Millot,€2.00m 
Nikolas Nartey,€1.80m 
Naouirou Ahamada,€1.50m 
Philipp Förster,€2.50m 
Mateo Klimowicz,€2.00m 
Erik Thommy,€1.80m 
Philipp Klement,€1.00m 
Ömer Beyaz,€1.00m 
Lilian Egloff,€800k 
Daniel Didavi,€500k 
Roberto Massimo,€2.00m 
Darko Churlinov,€1.30m 
Alexis Tibidi,€1.20m 
Falko Michel,€250k 
Silas,€15.00m 
Tanguy Coulibaly,€2.50m 
Chris Führich,€4.00m 
Sasa Kalajdzic,€25.00m 
Tiago Tomás,€7.00m 
Omar Marmoush,€6.00m 
Wahid Faghir,€3.00m 
Mohamed Sankoh,€1.00m 
Hamadi Al-Ghaddioui,€700k 
Robin Zentner,€5.00m 
Finn Dahmen,€1.50m 
Lasse Rieß,€200k 
Moussa Niakhaté,€18.00m 
Jerry St. Juste,€16.00m 
Luca Kilian,€4.50m 
Stefan Bell,€2.50m 
Alexander Hack,€2.50m 
David Nemeth,€2.30m 
Aarón Martín,€5.00m 
Anderson Lucoqui,€1.80m 
Silvan Widmer,€5.00m 
Daniel Brosinski,€500k 
Anton Stach,€13.00m 
Niklas Tauer,€1.50m 
Stephan Fürstner,€75k 
Leandro Barreiro,€8.00m 
Dominik Kohr,€5.00m 
Edimilson Fernandes,€2.00m 
Merveille Papela,€400k 
Eniss Shabani,€200k 
Timothé Rupil,€100k 
Jean-Paul Boëtius,€4.00m 
Jae-sung Lee,€3.00m 
Kevin Stöger,€1.60m 
Paul Nebel,€1.30m 
Kaito Mizuta,€150k 
Delano Burgzorg,€2.00m 
Ben Bobzien,€250k 
Romario Rösch,€150k 
Jonathan Burkardt,€17.00m 
Karim Onisiwo,€3.50m 
Marcus Ingvartsen,€2.50m 
Ádám Szalai,€500k 
Oliver Baumann,€4.50m 
Philipp Pentke,€300k 
Luca Philipp,€300k 
Nahuel Noll,€200k 
Chris Richards,€7.50m 
Kevin Akpoguma,€6.00m 
Kevin Vogt,€3.50m 
Ermin Bicakcic,€1.00m 
Havard Nordtveit,€1.00m 
Kasim Adams,€1.00m 
Benjamin Hübner,€1.00m 
Fabian Rüth,€125k 
Gabriel Haider,€125k 
Noah König,€125k 
David Raum,€20.00m 
Marco John,€2.50m 
Stefan Posch,€10.00m 
Pavel Kaderabek,€5.00m 
Justin Che,€3.00m 
Florian Grillitsch,€16.00m 
Diadié Samassékou,€16.00m 
Angelo Stiller,€7.00m 
Sebastian Rudy,€1.50m 
Melayro Bogarde,€1.20m 
Dennis Geiger,€9.00m 
Robert Skov,€7.00m 
Mijat Gacinovic,€2.50m 
Christoph Baumgartner,€22.00m 
Tom Bischof,€1.00m 
Jacob Bruun Larsen,€6.00m 
Ihlas Bebou,€16.00m 
Georginio Rutter,€16.00m 
Andrej Kramaric,€12.00m 
Munas Dabbur,€4.00m 
Sargis Adamyan,€3.50m 
Maximilian Beier,€3.00m 
Fisnik Asllani,€400k 
Nick Proschwitz,€150k 
Jiri Pavlenka,€3.00m 
Michael Zetterer,€500k 
Luca Plogmann,€300k 
Dudu,€200k 
Marco Friedl,€5.00m 
Milos Veljkovic,€4.00m 
Ömer Toprak,€1.50m 
Lukas Mai,€1.00m 
Fabio Chiarodia,€500k 
