,Players,Club,Position,Age,Nationality,Values
843,Youri Baas,NEC Nijmegen,Defender,20,Netherlands,8550000.0
851,Florian Pick,1.FC Heidenheim 1846,Attack,27,Germany,8500000.0
572,Morten Hjulmand,US Lecce,midfield,24,Denmark,8500000.0
783,Naouirou Ahamada,Crystal Palace,midfield,21,France,8500000.0
818,Nikolai Laursen,Heracles Almelo,Attack,25,Denmark,8500000.0
814,Stijn van Gassel,Excelsior Rotterdam,Goalkeeper,26,Netherlands,8500000.0
866,Samuel Iling Junior,Juventus FC,Attack,19,England,8300000.0
857,Lyle Foster,Burnley FC,Attack,22,South Africa,8200000.0
847,Bart van Rooij,NEC Nijmegen,Defender,22,Netherlands,8200000.0
242,Aleksandar Mitrović,Fulham FC,Attack,28,Serbia,8000000.0
450,Nicolò Rovella,Juventus FC,midfield,21,Italy,8000000.0
414,Galeno,FC Porto,Attack,25,Brazil,8000000.0
413,Samuele Ricci,Torino FC,midfield,21,Italy,8000000.0
415,Amine Adli,Bayer 04 Leverkusen,Attack,23,France,8000000.0
384,Fredrik Aursnes,SL Benfica,midfield,27,Norway,8000000.0
407,Nicola Zalewski,AS Roma,midfield,21,Poland,8000000.0
247,Rico Henry,Brentford FC,Defender,26,England,8000000.0
756,Zeno Debast,RSC Anderlecht,Defender,19,Belgium,8000000.0
541,Diogo Leite,1.FC Union Berlin,Defender,24,Portugal,8000000.0
811,José Fontán,Celta de Vigo,Defender,23,Spain,8000000.0
528,Vedat Muriqi,RCD Mallorca,Attack,29,Kosovo,8000000.0
262,Noussair Mazraoui,Bayern Munich,Defender,25,Morocco,8000000.0
632,Josh Cullen,Burnley FC,midfield,27,Ireland,8000000.0
495,Nathan Patterson,Everton FC,Defender,21,Scotland,8000000.0
244,Jérémy Doku,Stade Rennais FC,Attack,21,Belgium,8000000.0
714,Hugo Cuypers,KAA Gent,Attack,26,Belgium,8000000.0
680,Josip Stanisic,Bayern Munich,Defender,23,Croatia,8000000.0
869,Yunus Emre Cift,Samsunspor,Defender,19,Turkey,8000000.0
310,Destiny Udogie,Tottenham Hotspur,Defender,20,Italy,8000000.0
838,Oguzhan Özyakup,Fortuna Sittard,midfield,30,Turkey,8000000.0
429,Kepa Arrizabalaga,Chelsea FC,Goalkeeper,28,Spain,8000000.0
469,Alex Meret,SSC Napoli,Goalkeeper,26,Italy,8000000.0
675,Joe Worrall,Nottingham Forest,Defender,26,England,8000000.0
703,Youssouf Ndayishimiye,OGC Nice,Defender,24,Burundi,8000000.0
850,Thomas Isherwood,SV Darmstadt 98,Defender,25,Sweden,8000000.0
224,David Raya,Brentford FC,Goalkeeper,27,Spain,8000000.0
155,Manuel Akanji,Manchester City,Defender,27,Switzerland,8000000.0
593,Vangelis Pavlidis,AZ Alkmaar,Attack,24,Greece,8000000.0
461,Issa Diop,Fulham FC,Defender,26,France,8000000.0
457,Harrison Reed,Fulham FC,midfield,28,England,8000000.0
921,Aïman Maurer,Clermont Foot 63,midfield,18,Morocco,7900000.0
779,Georges Mikautadze,FC Metz,Attack,22,Georgia,7800000.0
854,Django Warmerdam,Sparta Rotterdam,Defender,27,Netherlands,7800000.0
939,Elliot Anderson,Newcastle United,midfield,20,Scotland,7800000.0
972,Soungoutou Magassa,AS Monaco,midfield,19,France,7800000.0
876,Julian Baas,Excelsior Rotterdam,midfield,21,Netherlands,7650000.0
828,Nicolas Pallois,FC Nantes,Defender,35,France,7500000.0
948,Yehvann Diouf,Stade Reims,Goalkeeper,23,France,7500000.0
662,Kenneth Taylor,Ajax Amsterdam,midfield,21,Netherlands,7500000.0
732,Aleix García,Girona FC,midfield,26,Spain,7500000.0
864,Kik Pierie,Excelsior Rotterdam,Defender,22,Netherlands,7500000.0
945,Kevin Müller,1.FC Heidenheim 1846,Goalkeeper,32,Germany,7400000.0
958,Moussa Diarra,FC Toulouse,Defender,22,Mali,7400000.0
914,Magnus Mattsson,NEC Nijmegen,Attack,24,Denmark,7350000.0
989,Jeffrey de Lange,Go Ahead Eagles,Goalkeeper,25,Netherlands,7300000.0
912,Calvin Verdonk,NEC Nijmegen,Defender,26,Netherlands,7300000.0
931,Soner Gönül,Samsunspor,Defender,26,Turkey,7300000.0
987,Syb van Ottele,SC Heerenveen,Defender,21,Netherlands,7250000.0
1004,Tijjani Noslin,Fortuna Sittard,Attack,24,Netherlands,7250000.0
846,Maxime Gonalons,Clermont Foot 63,midfield,34,France,7200000.0
978,Isac Lidberg,Go Ahead Eagles,Attack,24,Sweden,7100000.0
996,Kewin,Moreirense FC,Goalkeeper,28,Brazil,7100000.0
751,Bafodé Diakité,LOSC Lille,Defender,22,France,7000000.0
574,Antonee Robinson,Fulham FC,Defender,25,United States,7000000.0
294,Youssouf Fofana,AS Monaco,midfield,24,France,7000000.0
964,Jon Pacheco,Real Sociedad,Defender,22,Spain,7000000.0
