,Players,Club,Position,Age,Nationality,Values
8,Aymeric Laporte,Manchester City,Defender,29,Spain,25000000.0
9,Taylor Harwood-Bellis,Manchester City,Defender,21,England,25000000.0
218,Ezri Konsa,Aston Villa,Defender,25,England,25000000.0
2294,Carlos Soler,Paris Saint-Germain,midfield,26,Spain,25000000.0
1544,Boulaye Dia,US Salernitana 1919,Attack,26,Senegal,25000000.0
201,Sean Longstaff,Newcastle United,midfield,25,England,25000000.0
3303,David Hancko,Feyenoord Rotterdam,Defender,25,Slovakia,25000000.0
2792,David Neres,SL Benfica,Attack,26,Brazil,25000000.0
225,Matty Cash,Aston Villa,Defender,25,Poland,25000000.0
3310,Lutsharel Geertruida,Feyenoord Rotterdam,Defender,22,Netherlands,25000000.0
297,Kevin Schade,Brentford FC,Attack,21,Germany,25000000.0
806,Giorgi Mamardashvili,Valencia CF,Goalkeeper,22,Georgia,25000000.0
3327,Santiago Gimenez,Feyenoord Rotterdam,Attack,22,Mexico,25000000.0
2305,Marco Asensio,Paris Saint-Germain,Attack,27,Spain,25000000.0
329,Matheus Cunha,Wolverhampton Wanderers,Attack,24,Brazil,25000000.0
1107,Giovanni Di Lorenzo,SSC Napoli,Defender,29,Italy,25000000.0
282,Aaron Hickey,Brentford FC,Defender,21,Scotland,25000000.0
74,Malo Gusto,Chelsea FC,Defender,20,France,25000000.0
2819,Pepê,FC Porto,Attack,26,Brazil,25000000.0
1101,Amir Rrahmani,SSC Napoli,Defender,29,Kosovo,25000000.0
141,Alejandro Garnacho,Manchester United,Attack,19,Argentina,25000000.0
263,Saïd Benrahma,West Ham United,Attack,27,Algeria,25000000.0
1831,Christoph Baumgartner,RB Leipzig,midfield,23,Austria,24000000.0
1839,Benjamin Sesko,RB Leipzig,Attack,20,Slovenia,24000000.0
324,Gonçalo Guedes,Wolverhampton Wanderers,Attack,26,Portugal,23000000.0
422,Marcos Senesi,AFC Bournemouth,Defender,26,Argentina,22000000.0
923,Viktor Tsygankov,Girona FC,Attack,25,Ukraine,22000000.0
1178,Charles De Ketelaere,AC Milan,midfield,22,Belgium,22000000.0
310,Rayan Aït-Nouri,Wolverhampton Wanderers,Defender,22,Algeria,22000000.0
2300,Kang-in Lee,Paris Saint-Germain,midfield,22,"Korea, South",22000000.0
261,Pablo Fornals,West Ham United,midfield,27,Spain,22000000.0
286,Mathias Jensen,Brentford FC,midfield,27,Denmark,22000000.0
3269,Steven Bergwijn,Ajax Amsterdam,Attack,25,Netherlands,22000000.0
124,Tyrell Malacia,Manchester United,Defender,23,Netherlands,22000000.0
1339,Nicolò Casale,SS Lazio,Defender,25,Italy,22000000.0
249,Kurt Zouma,West Ham United,Defender,28,France,22000000.0
1824,Xaver Schlager,RB Leipzig,midfield,25,Austria,22000000.0
334,Jordan Pickford,Everton FC,Goalkeeper,29,England,22000000.0
1769,Exequiel Palacios,Bayer 04 Leverkusen,midfield,24,Argentina,22000000.0
2823,Evanilson,FC Porto,Attack,23,Brazil,22000000.0
2337,Arnaud Kalimuendo,Stade Rennais FC,Attack,21,France,22000000.0
266,Gianluca Scamacca,West Ham United,Attack,24,Italy,22000000.0
403,Tyrick Mitchell,Crystal Palace,Defender,23,England,22000000.0
274,Nathan Collins,Brentford FC,Defender,22,Ireland,22000000.0
434,Hamed Junior Traorè,AFC Bournemouth,midfield,23,Cote d'Ivoire,22000000.0
1861,Djibril Sow,Eintracht Frankfurt,midfield,26,Switzerland,22000000.0
132,Christian Eriksen,Manchester United,midfield,31,Denmark,22000000.0
2790,Rafa,SL Benfica,Attack,30,Portugal,22000000.0
167,Tanguy Ndombélé,Tottenham Hotspur,midfield,26,France,22000000.0
95,Joe Gomez,Liverpool FC,Defender,26,England,22000000.0
1218,Filip Kostic,Juventus FC,midfield,30,Serbia,22000000.0
2381,Valentin Rongier,Olympique Marseille,midfield,28,France,22000000.0
2394,Kevin Danso,RC Lens,Defender,24,Austria,22000000.0
219,Tyrone Mings,Aston Villa,Defender,30,England,22000000.0
2395,Facundo Medina,RC Lens,Defender,24,Argentina,22000000.0
2314,Arthur Theate,Stade Rennais FC,Defender,23,Belgium,22000000.0
648,Thomas Lemar,Atlético de Madrid,midfield,27,France,22000000.0
180,Nick Pope,Newcastle United,Goalkeeper,31,England,20000000.0
1330,Arthur Cabral,ACF Fiorentina,Attack,25,Brazil,20000000.0
500,Anel Ahmedhodzic,Sheffield United,Defender,24,Bosnia-Herzegovina,20000000.0
638,Renan Lodi,Atlético de Madrid,Defender,25,Brazil,20000000.0
1166,Malick Thiaw,AC Milan,Defender,21,Germany,20000000.0
657,Álvaro Morata,Atlético de Madrid,Attack,30,Spain,20000000.0
1258,Mario Pasalic,Atalanta BC,midfield,28,Croatia,20000000.0
2469,Terem Moffi,OGC Nice,Attack,24,Nigeria,20000000.0
1790,Ramy Bensebaini,Borussia Dortmund,Defender,28,Algeria,20000000.0
