Player,Club,Age,Position,Nation,Value,League
Timo Horn,1.FC Köln,30,Goalkeeper,Germany,1500000.0,Bundesliga
Nikolas Nartey,VfB Stuttgart,23,midfield,Denmark,1500000.0,Bundesliga
Manuel Gulde,SC Freiburg,32,Defender,Germany,1500000.0,Bundesliga
Milos Pantovic,1.FC Union Berlin,26,midfield,Serbia,1500000.0,Bundesliga
Agustín Rogel,Hertha BSC,25,Defender,Uruguay,1500000.0,Bundesliga
Fabian Bredlow,VfB Stuttgart,28,Goalkeeper,Germany,1500000.0,Bundesliga
Juanpe,Girona FC,32,Defender,Spain,1500000.0,La Liga
Andros Townsend,Everton FC,31,Attack,England,1500000.0,Premier League
Domen Crnigoj,US Salernitana 1919,27,midfield,Slovenia,1500000.0,Serie A
Vincent Sierro,FC Toulouse,27,midfield,Switzerland,1500000.0,Ligue 1
Ado Onaiwu,FC Toulouse,27,Attack,Japan,1500000.0,Ligue 1
Denis Genreau,FC Toulouse,24,midfield,Australia,1500000.0,Ligue 1
Igor Silva,FC Lorient,26,Defender,Brazil,1500000.0,Ligue 1
Saïd Hamulic,FC Toulouse,22,Attack,Bosnia-Herzegovina,1500000.0,Ligue 1
Jérémie Bela,Clermont Foot 63,30,Attack,Angola,1500000.0,Ligue 1
Xavier Chavalerin,ESTAC Troyes,32,midfield,France,1500000.0,Ligue 1
Jean-Mattéo Bahoya,Angers SCO,18,midfield,France,1500000.0,Ligue 1
Amine Salama,Angers SCO,22,Attack,France,1500000.0,Ligue 1
Valère Germain,Montpellier HSC,33,Attack,France,1500000.0,Ligue 1
Jonas Martin,LOSC Lille,33,midfield,France,1500000.0,Ligue 1
Kenny Lala,Stade Brestois 29,31,Defender,France,1500000.0,Ligue 1
Youcef Belaïli,AC Ajaccio,31,Attack,Algeria,1500000.0,Ligue 1
Cheick Keita,Stade Reims,20,Defender,France,1500000.0,Ligue 1
Dimitry Bertaud,Montpellier HSC,25,Goalkeeper,France,1500000.0,Ligue 1
Jean-Daniel Akpa Akpro,FC Empoli,30,midfield,Cote d'Ivoire,1500000.0,Serie A
Youssouf Koné,AC Ajaccio,27,Defender,Mali,1500000.0,Ligue 1
Moussa Djitté,AC Ajaccio,23,Attack,Senegal,1500000.0,Ligue 1
Ismaël Diallo,AC Ajaccio,26,Defender,Cote d'Ivoire,1500000.0,Ligue 1
Valery Fernández,Girona FC,23,Attack,Spain,1500000.0,La Liga
Myziane Maolida,Stade Reims,24,Attack,France,1500000.0,Ligue 1
Marco Benassi,US Cremonese,28,midfield,Italy,1500000.0,Serie A
Francisco Portillo,UD Almería,33,Attack,Spain,1500000.0,La Liga
Leonardo Buta,Udinese Calcio,21,Defender,Portugal,1500000.0,Serie A
Sergio Escudero,Real Valladolid CF,33,Defender,Spain,1500000.0,La Liga
Luis Pérez,Real Valladolid CF,28,Defender,Spain,1500000.0,La Liga
Ángel Algobia,Getafe CF,24,midfield,Spain,1500000.0,La Liga
Guillermo Ochoa,US Salernitana 1919,37,Goalkeeper,Mexico,1500000.0,Serie A
Phil Jones,Manchester United,31,Defender,England,1500000.0,Premier League
Francesco Caputo,FC Empoli,35,Attack,Italy,1500000.0,Serie A
Daniel Samek,US Lecce,19,midfield,Czech Republic,1500000.0,Serie A
José Machín,AC Monza,26,midfield,Equatorial Guinea,1500000.0,Serie A
Mattia Valoti,AC Monza,29,midfield,Italy,1500000.0,Serie A
Ryan Fredericks,AFC Bournemouth,30,Defender,England,1500000.0,Premier League
Tolgay Arslan,Udinese Calcio,32,midfield,Germany,1400000.0,Serie A
Robert Wagner,SC Freiburg,19,midfield,Germany,1400000.0,Bundesliga
Kenan Karaman,FC Schalke 04,29,Attack,Turkey,1400000.0,Bundesliga
Mattia Destro,FC Empoli,32,Attack,Italy,1300000.0,Serie A
Paolo Ghiglione,US Cremonese,26,Defender,Italy,1300000.0,Serie A
Mehdi Bourabia,Spezia Calcio,31,midfield,Morocco,1300000.0,Serie A
Mathias Olesen,1.FC Köln,22,midfield,Luxembourg,1200000.0,Bundesliga
Dominique Heintz,VfL Bochum,29,Defender,Germany,1200000.0,Bundesliga
Kristian Pedersen,1.FC Köln,28,Defender,Denmark,1200000.0,Bundesliga
Marcus Coco,FC Nantes,27,Attack,France,1200000.0,Ligue 1
André Hahn,FC Augsburg,32,Attack,Germany,1200000.0,Bundesliga
Leo Greiml,FC Schalke 04,21,Defender,Austria,1200000.0,Bundesliga
Alex McCarthy,Southampton FC,33,Goalkeeper,England,1200000.0,Premier League
Niklas Tauer,FC Schalke 04,22,midfield,Germany,1200000.0,Bundesliga
Jordi Osei-Tutu,VfL Bochum,24,Defender,England,1200000.0,Bundesliga
Andrey Lunev,Bayer 04 Leverkusen,31,Goalkeeper,Russia,1200000.0,Bundesliga
Tobias Mohr,FC Schalke 04,27,midfield,Germany,1200000.0,Bundesliga
Tim Skarke,FC Schalke 04,26,Attack,Germany,1200000.0,Bundesliga
Deyovaisio Zeefuik,Hellas Verona,25,Defender,Netherlands,1200000.0,Serie A
Martín Montoya,Real Betis Balompié,32,Defender,Spain,1200000.0,La Liga
Joel Ward,Crystal Palace,33,Defender,England,1200000.0,Premier League
Adam Forshaw,Leeds United,31,midfield,England,1200000.0,Premier League
Dani Rodríguez,RCD Mallorca,35,midfield,Spain,1200000.0,La Liga
Víctor Ruiz,Real Betis Balompié,34,Defender,Spain,1200000.0,La Liga
Henning Matriciani,FC Schalke 04,23,Defender,Germany,1200000.0,Bundesliga
Loris Karius,Newcastle United,30,Goalkeeper,Germany,1200000.0,Premier League
Iván Alejo,Cádiz CF,28,Attack,Spain,1200000.0,La Liga
Helibelton Palacios,Elche CF,30,Defender,Colombia,1200000.0,La Liga
Nathan Ferguson,Crystal Palace,22,Defender,England,1200000.0,Premier League
Jaime Mata,Getafe CF,34,Attack,Spain,1200000.0,La Liga
Konstantinos Stafylidis,VfL Bochum,29,Defender,Greece,1200000.0,Bundesliga
César de la Hoz,UD Almería,31,midfield,Spain,1200000.0,La Liga
Adam Smith,AFC Bournemouth,32,Defender,England,1200000.0,Premier League
Aaron Cresswell,West Ham United,33,Defender,England,1200000.0,Premier League
Abdón Prats,RCD Mallorca,30,Attack,Spain,1200000.0,La Liga
Frank Tsadjout,US Cremonese,23,Attack,Italy,1200000.0,Serie A
Iñigo Eguaras,UD Almería,31,midfield,Spain,1200000.0,La Liga
Santiago Arzamendia,Cádiz CF,25,Defender,Paraguay,1200000.0,La Liga
Levin Öztunali,1.FC Union Berlin,27,midfield,Germany,1200000.0,Bundesliga
Theocharis Tsingaras,FC Toulouse,22,midfield,Greece,1200000.0,Ligue 1
Jorge Meré,Cádiz CF,26,Defender,Spain,1200000.0,La Liga
Warren Kamanzi,FC Toulouse,22,Defender,Norway,1200000.0,Ligue 1
Papa Ndiaga Yade,ESTAC Troyes,23,Attack,Senegal,1200000.0,Ligue 1
Kévin Gameiro,RC Strasbourg Alsace,36,Attack,France,1200000.0,Ligue 1
Lebo Mothiba,RC Strasbourg Alsace,27,Attack,South Africa,1200000.0,Ligue 1
Logan Costa,FC Toulouse,22,Defender,Cape Verde,1200000.0,Ligue 1
Thomas Delaine,RC Strasbourg Alsace,31,Defender,France,1200000.0,Ligue 1
Darlin Yongwa,FC Lorient,22,Defender,Cameroon,1200000.0,Ligue 1
Gaëtan Perrin,AJ Auxerre,27,midfield,France,1200000.0,Ligue 1
Jaume Costa,RCD Mallorca,35,Defender,Spain,1200000.0,La Liga
Lassine Sinayoko,AJ Auxerre,23,Attack,Mali,1200000.0,Ligue 1
Yanis Cimignani,AC Ajaccio,21,midfield,France,1200000.0,Ligue 1
Sada Thioub,Angers SCO,28,Attack,Senegal,1200000.0,Ligue 1
Léo Leroy,Montpellier HSC,23,midfield,France,1200000.0,Ligue 1
Mitchell van Bergen,Stade Reims,23,Attack,Netherlands,1200000.0,Ligue 1
Noah Fadiga,Stade Brestois 29,23,Defender,Senegal,1200000.0,Ligue 1
Kaj Sierhuis,Stade Reims,25,Attack,Netherlands,1200000.0,Ligue 1
Simon Zoller,VfL Bochum,32,Attack,Germany,1100000.0,Bundesliga
Théo Pellenard,AJ Auxerre,29,Defender,France,1000000.0,Ligue 1
Ismaël Boura,RC Lens,22,Defender,France,1000000.0,Ligue 1
Thomas Didillon,AS Monaco,27,Goalkeeper,France,1000000.0,Ligue 1
Oliver Zandén,FC Toulouse,21,Defender,Sweden,1000000.0,Ligue 1
Henrique Silva,Olympique Lyon,29,Defender,Brazil,1000000.0,Ligue 1
Maxime Le Marchand,RC Strasbourg Alsace,33,Defender,France,1000000.0,Ligue 1
Cheick Oumar Konaté,Clermont Foot 63,19,Defender,Mali,1000000.0,Ligue 1
Ayman Kari,FC Lorient,18,midfield,France,1000000.0,Ligue 1
Benoît Costil,LOSC Lille,35,Goalkeeper,France,1000000.0,Ligue 1
Vincent Le Goff,FC Lorient,33,Defender,France,1000000.0,Ligue 1
Sébastien Corchia,FC Nantes,32,Defender,France,1000000.0,Ligue 1
Félix Lemaréchal,Stade Brestois 29,19,midfield,France,1000000.0,Ligue 1
Tanguy Zoukrou,ESTAC Troyes,20,Defender,France,1000000.0,Ligue 1
Antoine Mendy,OGC Nice,19,Defender,France,1000000.0,Ligue 1
Steve Mandanda,Stade Rennais FC,38,Goalkeeper,France,1000000.0,Ligue 1
Nuno Da Costa,AJ Auxerre,32,Attack,Cape Verde,1000000.0,Ligue 1
Mateu Morey Bauzà,Borussia Dortmund,23,Defender,Spain,1000000.0,Bundesliga
Abdoulaye Kamara,Borussia Dortmund,18,midfield,France,1000000.0,Bundesliga
Lucas Rosa,Real Valladolid CF,23,Defender,Brazil,1000000.0,La Liga
Theo Walcott,Southampton FC,34,Attack,England,1000000.0,Premier League
Fidel,Elche CF,33,Attack,Spain,1000000.0,La Liga
Joel Robles,Leeds United,33,Goalkeeper,Spain,1000000.0,Premier League
Matt Ritchie,Newcastle United,33,midfield,Scotland,1000000.0,Premier League
Riccardo Marchizza,US Sassuolo,25,Defender,Italy,1000000.0,Serie A
Alex Ferrari,US Cremonese,28,Defender,Italy,1000000.0,Serie A
Vicente Guaita,Crystal Palace,36,Goalkeeper,Spain,1000000.0,Premier League
Milan Djuric,Hellas Verona,33,Attack,Bosnia-Herzegovina,1000000.0,Serie A
Luis Hernández,Cádiz CF,34,Defender,Spain,1000000.0,La Liga
Zidane Iqbal,Manchester United,20,midfield,Iraq,1000000.0,Premier League
Damián Suárez,Getafe CF,35,Defender,Uruguay,1000000.0,La Liga
José Pozo,Rayo Vallecano,27,midfield,Spain,1000000.0,La Liga
Jordi Masip,Real Valladolid CF,34,Goalkeeper,Spain,1000000.0,La Liga
Marlon Mustapha,1.FSV Mainz 05,22,Attack,Austria,1000000.0,Bundesliga
Seamus Coleman,Everton FC,34,Defender,Ireland,1000000.0,Premier League
Andrea Consigli,US Sassuolo,36,Goalkeeper,Italy,1000000.0,Serie A
John Donald,Elche CF,22,Defender,Spain,1000000.0,La Liga
Álvaro Negredo,Cádiz CF,37,Attack,Spain,1000000.0,La Liga
Ángel Rodríguez,RCD Mallorca,36,Attack,Spain,1000000.0,La Liga
Bram Nuytinck,UC Sampdoria,33,Defender,Netherlands,1000000.0,Serie A
Aridane Hernández,CA Osasuna,34,Defender,Spain,1000000.0,La Liga
Pedro Bigas,Elche CF,33,Defender,Spain,1000000.0,La Liga
Jeison Murillo,UC Sampdoria,31,Defender,Colombia,1000000.0,Serie A
Luigi Sepe,US Salernitana 1919,32,Goalkeeper,Italy,1000000.0,Serie A
Cristhian Mosquera,Valencia CF,19,Defender,Spain,1000000.0,La Liga
Nicola Murru,UC Sampdoria,28,Defender,Italy,1000000.0,Serie A
Borja García,Girona FC,32,midfield,Spain,1000000.0,La Liga
Josan,Elche CF,33,Attack,Spain,1000000.0,La Liga
Pablo Marín,Real Sociedad,19,midfield,Spain,1000000.0,La Liga
Jaume Doménech,Valencia CF,32,Goalkeeper,Spain,1000000.0,La Liga
Aitor Paredes,Athletic Bilbao,23,Defender,Spain,1000000.0,La Liga
Dalbert,Inter Milan,29,Defender,Brazil,1000000.0,Serie A
Claudio Bravo,Real Betis Balompié,40,Goalkeeper,Chile,1000000.0,La Liga
Sergio Asenjo,Real Valladolid CF,33,Goalkeeper,Spain,1000000.0,La Liga
Jayden Braaf,Hellas Verona,20,Attack,Netherlands,1000000.0,Serie A
Harrison Ashby,Newcastle United,21,Defender,Scotland,1000000.0,Premier League
Tomas Koubek,FC Augsburg,30,Goalkeeper,Czech Republic,1000000.0,Bundesliga
Lars Stindl,Borussia Mönchengladbach,34,midfield,Germany,1000000.0,Bundesliga
Soumaïla Coulibaly,Borussia Dortmund,19,Defender,France,1000000.0,Bundesliga
Matty Longstaff,Newcastle United,23,midfield,England,1000000.0,Premier League
Eren Dinkci,SV Werder Bremen,21,Attack,Germany,1000000.0,Bundesliga
Muhammed Damar,TSG 1899 Hoffenheim,19,midfield,Germany,1000000.0,Bundesliga
Moritz Broschinski,VfL Bochum,22,Attack,Germany,1000000.0,Bundesliga
Saidy Janko,VfL Bochum,27,Defender,The Gambia,1000000.0,Bundesliga
Niko Gießelmann,1.FC Union Berlin,31,Defender,Germany,1000000.0,Bundesliga
Sebastian Rudy,TSG 1899 Hoffenheim,33,midfield,Germany,1000000.0,Bundesliga
Alexander Meyer,Borussia Dortmund,32,Goalkeeper,Germany,1000000.0,Bundesliga
Arijon Ibrahimovic,Bayern Munich,17,midfield,Germany,1000000.0,Bundesliga
Nico Schulz,Borussia Dortmund,30,Defender,Germany,1000000.0,Bundesliga
Andrés Martín,Rayo Vallecano,23,Attack,Spain,1000000.0,La Liga
Dzenan Pejcinovic,VfL Wolfsburg,18,Attack,Germany,1000000.0,Bundesliga
Lennart Grill,1.FC Union Berlin,24,Goalkeeper,Germany,1000000.0,Bundesliga
Genki Haraguchi,VfB Stuttgart,32,midfield,Japan,1000000.0,Bundesliga
Marvin Plattenhardt,Hertha BSC,31,Defender,Germany,1000000.0,Bundesliga
Jere Uronen,FC Schalke 04,28,Defender,Finland,1000000.0,Bundesliga
Paul Dummett,Newcastle United,31,Defender,Wales,1000000.0,Premier League
Jesé,UC Sampdoria,30,Attack,Spain,1000000.0,Serie A
Luke Plange,Crystal Palace,20,Attack,England,1000000.0,Premier League
Tim Ream,Fulham FC,35,Defender,United States,1000000.0,Premier League
Felix Agu,SV Werder Bremen,23,Defender,Germany,1000000.0,Bundesliga
Miguel Rodríguez,Celta de Vigo,20,Attack,Spain,1000000.0,La Liga
Charalampos Lykogiannis,Bologna FC 1909,29,Defender,Greece,1000000.0,Serie A
Franco Carboni,AC Monza,20,Defender,Argentina,1000000.0,Serie A
Marko Milovanovic,UD Almería,19,Attack,Serbia,1000000.0,La Liga
Kingsley Schindler,1.FC Köln,29,midfield,Ghana,1000000.0,Bundesliga
Renato Veiga,FC Augsburg,19,midfield,Portugal,1000000.0,Bundesliga
Manuel Riemann,VfL Bochum,34,Goalkeeper,Germany,1000000.0,Bundesliga
Florian Dietz,1.FC Köln,24,Attack,Germany,1000000.0,Bundesliga
Fabio Chiarodia,SV Werder Bremen,18,Defender,Italy,1000000.0,Bundesliga
Sargis Adamyan,1.FC Köln,30,Attack,Armenia,1000000.0,Bundesliga
Kevin Vázquez,Celta de Vigo,30,Defender,Spain,1000000.0,La Liga
Youssouf M'Changama,AJ Auxerre,32,midfield,Comoros,900000.0,Ligue 1
Loïs Diony,Angers SCO,30,Attack,France,900000.0,Ligue 1
Nicolas Pallois,FC Nantes,35,Defender,France,900000.0,Ligue 1
Faouzi Ghoulam,Angers SCO,32,Defender,Algeria,900000.0,Ligue 1
Maxime Gonalons,Clermont Foot 63,34,midfield,France,900000.0,Ligue 1
Cyrille Bayala,AC Ajaccio,27,Attack,Burkina Faso,900000.0,Ligue 1
Moussa Soumano,AC Ajaccio,17,Attack,France,900000.0,Ligue 1
Mateusz Lis,ESTAC Troyes,26,Goalkeeper,Poland,900000.0,Ligue 1
Jérôme Boateng,Olympique Lyon,34,Defender,Germany,800000.0,Ligue 1
Moussa Diarra,FC Toulouse,22,Defender,Mali,800000.0,Ligue 1
Kays Ruiz-Atil,AJ Auxerre,20,midfield,Morocco,800000.0,Ligue 1
Aïman Maurer,Clermont Foot 63,18,midfield,Morocco,800000.0,Ligue 1
Soungoutou Magassa,AS Monaco,19,midfield,France,800000.0,Ligue 1
Julian Jeanvier,AJ Auxerre,31,Defender,Guinea,800000.0,Ligue 1
Mathias Autret,AJ Auxerre,32,midfield,France,800000.0,Ligue 1
Bingourou Kamara,Montpellier HSC,26,Goalkeeper,Senegal,800000.0,Ligue 1
Yunis Abdelhamid,Stade Reims,35,Defender,Morocco,700000.0,Ligue 1
Johan Gastien,Clermont Foot 63,35,midfield,France,700000.0,Ligue 1
Halid Sabanovic,Angers SCO,23,Defender,Bosnia-Herzegovina,700000.0,Ligue 1
Kevin Spadanuda,AC Ajaccio,26,Attack,Switzerland,700000.0,Ligue 1
Noah Jean Holm,Stade Reims,22,Attack,Norway,700000.0,Ligue 1
Ante Palaversa,ESTAC Troyes,23,midfield,Croatia,700000.0,Ligue 1
Lohann Doucet,FC Nantes,20,midfield,France,700000.0,Ligue 1
Rémy Descamps,FC Nantes,27,Goalkeeper,France,700000.0,Ligue 1
Dante,OGC Nice,39,Defender,Brazil,600000.0,Ligue 1
Charles Traoré,FC Nantes,31,Defender,Mali,600000.0,Ligue 1
Yuito Suzuki,RC Strasbourg Alsace,21,midfield,Japan,600000.0,Ligue 1
Alexandre Olliero,Stade Reims,27,Goalkeeper,France,600000.0,Ligue 1
Fernand Mayembo,AC Ajaccio,27,Defender,Congo,600000.0,Ligue 1
Béni Makouana,Montpellier HSC,20,Attack,Congo,600000.0,Ligue 1
José Fonte,LOSC Lille,39,Defender,Portugal,600000.0,Ligue 1
Farid El Melali,Angers SCO,25,Attack,Algeria,600000.0,Ligue 1
Benjamin Leroy,AC Ajaccio,34,Goalkeeper,France,500000.0,Ligue 1
Julian Pollersbeck,FC Lorient,28,Goalkeeper,Germany,500000.0,Ligue 1
Taïryk Arconte,Stade Brestois 29,19,Attack,France,500000.0,Ligue 1
Dimitri Liénard,RC Strasbourg Alsace,35,midfield,France,500000.0,Ligue 1
Waniss Taïbi,Angers SCO,21,midfield,France,500000.0,Ligue 1
Ouparine Djoco,Clermont Foot 63,25,Goalkeeper,France,500000.0,Ligue 1
Siriné Doucouré,FC Lorient,21,Attack,France,500000.0,Ligue 1
Mykola Kukharevych,ESTAC Troyes,21,Attack,Ukraine,500000.0,Ligue 1
Denys Bain,AJ Auxerre,29,Defender,France,500000.0,Ligue 1
Donovan Léon,AJ Auxerre,30,Goalkeeper,French Guiana,500000.0,Ligue 1
Karamoko Dembélé,Stade Brestois 29,20,Attack,England,500000.0,Ligue 1
Rémy Labeau Lascary,RC Lens,20,Attack,Guadeloupe,500000.0,Ligue 1
Mehdi Zeffane,Clermont Foot 63,31,Defender,Algeria,450000.0,Ligue 1
Florent Ogier,Clermont Foot 63,34,Defender,France,450000.0,Ligue 1
Abdoulaye Bamba,Angers SCO,33,Defender,Cote d'Ivoire,400000.0,Ligue 1
Gor Manvelyan,FC Nantes,21,midfield,France,400000.0,Ligue 1
Romain Hamouma,AC Ajaccio,36,Attack,France,400000.0,Ligue 1
Jean Botué,AC Ajaccio,20,Attack,Burkina Faso,400000.0,Ligue 1
Kjetil Haug,FC Toulouse,25,Goalkeeper,Norway,400000.0,Ligue 1
Simon Ngapandouetnbu,Olympique Marseille,20,Goalkeeper,Cameroon,400000.0,Ligue 1
Michaël Barreto,AC Ajaccio,32,midfield,France,400000.0,Ligue 1
Nordine Kandil,RC Strasbourg Alsace,21,midfield,Morocco,400000.0,Ligue 1
Kenji-Van Boto,AJ Auxerre,27,Defender,Madagascar,400000.0,Ligue 1
Kévin Keben,FC Toulouse,19,Defender,Cameroon,400000.0,Ligue 1
Joaquín Blázquez,Stade Brestois 29,22,Goalkeeper,Argentina,400000.0,Ligue 1
Thomas Mangani,AC Ajaccio,36,midfield,France,400000.0,Ligue 1
Rémy Riou,Olympique Lyon,35,Goalkeeper,France,400000.0,Ligue 1
Steven Fortes,RC Lens,31,Defender,Cape Verde,400000.0,Ligue 1
Yllan Okou,AS Monaco,20,Defender,France,300000.0,Ligue 1
Reda Belahyane,OGC Nice,19,midfield,France,300000.0,Ligue 1
Guéla Doué,Stade Rennais FC,20,Defender,Cote d'Ivoire,300000.0,Ligue 1
Alexandre Letellier,Paris Saint-Germain,32,Goalkeeper,France,300000.0,Ligue 1
Lucas Lavallée,Paris Saint-Germain,20,Goalkeeper,France,300000.0,Ligue 1
Vito Mannone,FC Lorient,35,Goalkeeper,Italy,300000.0,Ligue 1
Matis Carvalho,Montpellier HSC,24,Goalkeeper,Portugal,300000.0,Ligue 1
Yoann Touzghar,AC Ajaccio,36,Attack,Tunisia,300000.0,Ligue 1
Bartug Elmaz,Olympique Marseille,20,midfield,Turkey,300000.0,Ligue 1
Mathías Suárez,Montpellier HSC,27,Defender,Uruguay,300000.0,Ligue 1
François-Joseph Sollacaro,AC Ajaccio,29,Goalkeeper,France,300000.0,Ligue 1
Adam Jakubech,LOSC Lille,26,Goalkeeper,Slovakia,300000.0,Ligue 1
Mamadou Camara,RC Lens,20,midfield,Senegal,250000.0,Ligue 1
Mickaël Alphonse,AC Ajaccio,33,Defender,Guadeloupe,250000.0,Ligue 1
Valentin Atangana Edoa,Stade Reims,17,midfield,France,250000.0,Ligue 1
Franci Bouebari,RC Strasbourg Alsace,19,Defender,France,250000.0,Ligue 1
Yanis Massolin,Clermont Foot 63,20,midfield,France,250000.0,Ligue 1
Adil Rami,ESTAC Troyes,37,Defender,France,250000.0,Ligue 1
Samuel Koeberlé,Stade Reims,18,midfield,France,250000.0,Ligue 1
Cédric Avinel,AC Ajaccio,36,Defender,Guadeloupe,250000.0,Ligue 1
Pierrick Capelle,Angers SCO,36,midfield,France,250000.0,Ligue 1
Baïla Diallo,Clermont Foot 63,22,Defender,Senegal,200000.0,Ligue 1
Levi Lumeka,ESTAC Troyes,24,Attack,England,200000.0,Ligue 1
Eric N'Jo,ESTAC Troyes,19,Defender,France,200000.0,Ligue 1
Riad Nouri,AC Ajaccio,38,Attack,France,200000.0,Ligue 1
Jean-Louis Leca,RC Lens,37,Goalkeeper,France,200000.0,Ligue 1
Florian Chabrolle,AC Ajaccio,25,midfield,France,200000.0,Ligue 1
Ulrick Eneme-Ella,Angers SCO,22,Attack,Gabon,200000.0,Ligue 1
Yann Lienard,AS Monaco,20,Goalkeeper,France,200000.0,Ligue 1
Kayne Bonnevie,Olympique Lyon,21,Goalkeeper,France,200000.0,Ligue 1
Mathieu Coutadeur,AC Ajaccio,37,midfield,France,200000.0,Ligue 1
Mohamed Youssouf,AC Ajaccio,35,Defender,Comoros,200000.0,Ligue 1
Zinédine Ould Khaled,Angers SCO,23,midfield,France,200000.0,Ligue 1
Jessy Moulin,ESTAC Troyes,37,Goalkeeper,France,200000.0,Ligue 1
Yanis Guermouche,Montpellier HSC,22,Attack,Algeria,150000.0,Ligue 1
Ousoumane Camara,AJ Auxerre,24,midfield,France,150000.0,Ligue 1
Teddy Bartouche,FC Lorient,26,Goalkeeper,France,150000.0,Ligue 1
Samuel Yépié Yépié,FC Nantes,20,midfield,France,150000.0,Ligue 1
Robin Voisine,FC Nantes,21,Defender,France,150000.0,Ligue 1
Théo De Percin,AJ Auxerre,22,Goalkeeper,Martinique,150000.0,Ligue 1
Lucas Margueron,Clermont Foot 63,22,Goalkeeper,France,150000.0,Ligue 1
Thibault Tamas,Montpellier HSC,22,Defender,France,150000.0,Ligue 1
Josué Escartin,Stade Brestois 29,20,Defender,France,150000.0,Ligue 1
Yaya Fofana,RC Lens,19,midfield,Mali,150000.0,Ligue 1
Robin Risser,RC Strasbourg Alsace,18,Goalkeeper,France,150000.0,Ligue 1
Ousmane Camara,AJ Auxerre,21,Attack,Guinea,150000.0,Ligue 1
Eiji Kawashima,RC Strasbourg Alsace,40,Goalkeeper,Japan,150000.0,Ligue 1
Grégoire Coudert,Stade Brestois 29,24,Goalkeeper,France,150000.0,Ligue 1
Yannick Pandor,RC Lens,22,Goalkeeper,Comoros,150000.0,Ligue 1
Alassane N'Diaye,AC Ajaccio,32,midfield,France,150000.0,Ligue 1
Thomas Himeur,FC Toulouse,22,Goalkeeper,France,150000.0,Ligue 1
Teddy Boulhendi,OGC Nice,22,Goalkeeper,Algeria,150000.0,Ligue 1
Romain Salin,Stade Rennais FC,38,Goalkeeper,France,150000.0,Ligue 1
Elias Damergy,Stade Rennais FC,20,Goalkeeper,Tunisia,150000.0,Ligue 1
Ghjuvanni Quilichini,AC Ajaccio,20,Goalkeeper,France,150000.0,Ligue 1
Serif Nhaga,Paris Saint-Germain,17,Defender,Portugal,150000.0,Ligue 1
Chaker Alhadhur,AC Ajaccio,31,Defender,Comoros,150000.0,Ligue 1
Loïc Rémy,Stade Brestois 29,36,Attack,France,150000.0,Ligue 1
Denis Petric,FC Nantes,35,Goalkeeper,Slovenia,150000.0,Ligue 1
Jason Mbock,Angers SCO,23,Attack,France,150000.0,Ligue 1
Maxime Wackers,FC Lorient,25,Defender,France,150000.0,Ligue 1
Melvin Zinga,Angers SCO,21,Goalkeeper,France,100000.0,Ligue 1
Oliver Kamdem,Clermont Foot 63,20,Defender,France,100000.0,Ligue 1
Souleymane Cissé,Clermont Foot 63,20,Defender,France,100000.0,Ligue 1
Yassin Belkhdim,Angers SCO,21,midfield,Morocco,100000.0,Ligue 1
Nicolas Penneteau,Stade Reims,42,Goalkeeper,France,100000.0,Ligue 1
Ali Kalla,Angers SCO,25,Defender,France,100000.0,Ligue 1
Florent Duparchy,Stade Reims,23,Goalkeeper,France,100000.0,Ligue 1
Natanaël Bouekou,AJ Auxerre,21,midfield,France,100000.0,Ligue 1
Alexandre Pierre,RC Strasbourg Alsace,22,Goalkeeper,Haiti,100000.0,Ligue 1
Idjessi Metsoko,AJ Auxerre,21,Attack,Togo,100000.0,Ligue 1
Rémy Dugimont,AJ Auxerre,36,Attack,France,100000.0,Ligue 1
Daouda Traoré,OGC Nice,16,midfield,France,100000.0,Ligue 1
Kévin Danois,AJ Auxerre,19,midfield,France,100000.0,Ligue 1
Vincenzo Cozzella,AJ Auxerre,21,Goalkeeper,Italy,100000.0,Ligue 1
Ruan Levine,AC Ajaccio,24,Attack,Brazil,100000.0,Ligue 1
Adrien Louveau,RC Lens,23,Defender,France,100000.0,Ligue 1
Théo Borne,Angers SCO,20,Goalkeeper,France,100000.0,Ligue 1
Fabio Quagliarella,UC Sampdoria,40,Attack,Italy,3233.0,Serie A
Daniele Montevago,UC Sampdoria,20,Attack,Italy,3232.0,Serie A
Lorenzo Malagrida,UC Sampdoria,19,midfield,Italy,3224.0,Serie A
Gerard Yepes,UC Sampdoria,20,midfield,Spain,3220.0,Serie A
Flavio Paoletti,UC Sampdoria,20,midfield,Italy,3219.0,Serie A
Tomás Rincón,UC Sampdoria,35,midfield,Venezuela,3218.0,Serie A
Andrea Conti,UC Sampdoria,29,Defender,Italy,3216.0,Serie A
Marios Oikonomou,UC Sampdoria,30,Defender,Greece,3212.0,Serie A
Nicola Ravaglia,UC Sampdoria,34,Goalkeeper,Italy,3207.0,Serie A
Martin Turk,UC Sampdoria,19,Goalkeeper,Slovenia,3206.0,Serie A
Daniel Ciofani,US Cremonese,37,Attack,Italy,3204.0,Serie A
Dennis Politic,US Cremonese,23,Attack,Romania,3199.0,Serie A
Cristian Buonaiuto,US Cremonese,30,Attack,Italy,3198.0,Serie A
Christian Acella,US Cremonese,20,midfield,Italy,3197.0,Serie A
Michele Castagnetti,US Cremonese,33,midfield,Italy,3193.0,Serie A
Matteo Bianchetti,US Cremonese,30,Defender,Italy,3187.0,Serie A
