Player,Club,Age,Position,Nation,Value,League
Aleksandar Mitrović,Fulham FC,28,Attack,Serbia,28000000.0,Premier League
Evan Ndicka,Eintracht Frankfurt,23,Defender,Cote d'Ivoire,28000000.0,Bundesliga
Noussair Mazraoui,Bayern Munich,25,Defender,Morocco,28000000.0,Bundesliga
Konrad Laimer,RB Leipzig,26,midfield,Austria,28000000.0,Bundesliga
Emiliano Buendía,Aston Villa,26,Attack,Argentina,28000000.0,Premier League
Rico Henry,Brentford FC,25,Defender,England,28000000.0,Premier League
Emiliano Martínez,Aston Villa,30,Goalkeeper,Argentina,28000000.0,Premier League
Guido Rodríguez,Real Betis Balompié,29,midfield,Argentina,28000000.0,La Liga
Denzel Dumfries,Inter Milan,27,midfield,Netherlands,28000000.0,Serie A
Armando Broja,Chelsea FC,21,Attack,Albania,28000000.0,Premier League
Pedro Neto,Wolverhampton Wanderers,23,Attack,Portugal,28000000.0,Premier League
Alex Iwobi,Everton FC,27,midfield,Nigeria,28000000.0,Premier League
Danilo,Nottingham Forest,22,midfield,Brazil,28000000.0,Premier League
Donyell Malen,Borussia Dortmund,24,Attack,Netherlands,28000000.0,Bundesliga
Daichi Kamada,Eintracht Frankfurt,26,midfield,Japan,27000000.0,Bundesliga
John McGinn,Aston Villa,28,midfield,Scotland,27000000.0,Premier League
Eljif Elmas,SSC Napoli,23,midfield,North Macedonia,26000000.0,Serie A
Davide Frattesi,US Sassuolo,23,midfield,Italy,25000000.0,Serie A
Sean Longstaff,Newcastle United,25,midfield,England,25000000.0,Premier League
Jakub Kiwior,Arsenal FC,23,Defender,Poland,25000000.0,Premier League
Kyle Walker-Peters,Southampton FC,26,Defender,England,25000000.0,Premier League
Christian Pulisic,Chelsea FC,24,Attack,United States,25000000.0,Premier League
Iñaki Williams,Athletic Bilbao,29,Attack,Ghana,25000000.0,La Liga
Perr Schuurs,Torino FC,23,Defender,Netherlands,25000000.0,Serie A
Giorgi Mamardashvili,Valencia CF,22,Goalkeeper,Georgia,25000000.0,La Liga
Unai Simón,Athletic Bilbao,26,Goalkeeper,Spain,25000000.0,La Liga
Mattéo Guendouzi,Olympique Marseille,24,midfield,France,25000000.0,Ligue 1
Juan Foyth,Villarreal CF,25,Defender,Argentina,25000000.0,La Liga
Boulaye Dia,US Salernitana 1919,26,Attack,Senegal,25000000.0,Serie A
Taiwo Awoniyi,Nottingham Forest,25,Attack,Nigeria,25000000.0,Premier League
Ezri Konsa,Aston Villa,25,Defender,England,25000000.0,Premier League
Aaron Hickey,Brentford FC,21,Defender,Scotland,25000000.0,Premier League
Malo Gusto,Olympique Lyon,20,Defender,France,25000000.0,Ligue 1
Youssouf Fofana,AS Monaco,24,midfield,France,25000000.0,Ligue 1
Carlos Soler,Paris Saint-Germain,26,midfield,Spain,25000000.0,Ligue 1
Maxence Caqueret,Olympique Lyon,23,midfield,France,25000000.0,Ligue 1
Castello Lukeba,Olympique Lyon,20,Defender,France,25000000.0,Ligue 1
Brenden Aaronson,Leeds United,22,midfield,United States,25000000.0,Premier League
Matheus Cunha,Wolverhampton Wanderers,24,Attack,Brazil,25000000.0,Premier League
Saïd Benrahma,West Ham United,27,Attack,Algeria,25000000.0,Premier League
Hirving Lozano,SSC Napoli,27,Attack,Mexico,25000000.0,Serie A
Alejandro Garnacho,Manchester United,18,Attack,Argentina,25000000.0,Premier League
Marco Asensio,Real Madrid,27,Attack,Spain,25000000.0,La Liga
Wilfred Ndidi,Leicester City,26,midfield,Nigeria,25000000.0,Premier League
Takefusa Kubo,Real Sociedad,22,Attack,Japan,25000000.0,La Liga
Jorginho,Arsenal FC,31,midfield,Italy,25000000.0,Premier League
Matty Cash,Aston Villa,25,Defender,Poland,25000000.0,Premier League
Álex Remiro,Real Sociedad,28,Goalkeeper,Spain,25000000.0,La Liga
Ferland Mendy,Real Madrid,28,Defender,France,25000000.0,La Liga
Karim Benzema,Real Madrid,35,Attack,France,25000000.0,La Liga
Antoine Griezmann,Atlético de Madrid,32,Attack,France,25000000.0,La Liga
Aymeric Laporte,Manchester City,29,Defender,Spain,25000000.0,Premier League
Yannick Carrasco,Atlético de Madrid,29,Attack,Belgium,25000000.0,La Liga
Kiernan Dewsbury-Hall,Leicester City,24,midfield,England,25000000.0,Premier League
Arnaut Danjuma,Tottenham Hotspur,26,Attack,Netherlands,25000000.0,Premier League
Youri Tielemans,Leicester City,26,midfield,Belgium,25000000.0,Premier League
Brais Méndez,Real Sociedad,26,midfield,Spain,25000000.0,La Liga
